NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
贵族等级	划拨金额	奖励物品1	数量	奖励物品2	数量	奖励物品3	数量	活力上限	体力上限	离线代练经验(%)	每日战车荣誉上限	每日荣誉上限(%)	每日藏宝洞次数	每日庄园种植次数	浮屠塔每天可增加次数
1	100	12030533	1					100	100	5	2000	1	0	0	0
2	5000	12030533	1	12274040	1			300	300	5	2800	1	0	0	0
3	10000	12030533	1	12274040	1			500	500	10	3600	1	1	0	0
4	30000	12030533	1	12274040	1	11000333	2	700	700	15	4400	2	1	1	1
5	50000	12030533	1	12274040	1	11000333	3	1000	1000	15	5200	2	2	1	1
6	100000	12030533	1	12274040	1	11000333	4	1300	1300	20	6000	3	2	2	1
7	200000	12030533	1	12274040	1	11000333	5	1600	1600	25	6800	3	3	2	1
8	500000	12030533	1	12274040	1	11000333	6	2000	2000	30	7600	4	3	3	2
9	800000	12030533	1	12274040	1	11000333	8	2400	2400	35	8400	4	4	3	2
10	1300000	12030533	1	12274040	1	11000333	10	3000	3000	40	10000	5	4	3	2
