NUM	TEXT												
#	NPC对话												
101000	/dialog/city_dadu/dialog_city_dadu_139348.lua												
101001	/dialog/city_dadu/dialog_city_dadu_139301.lua												
101002	/dialog/city_dadu/dialog_city_dadu_139302.lua												
101050	/dialog/city_houhuayuan/dialog_city_houhuayuan_144743.lua												
102000	/dialog/yewai_xixiazhongxingfu/dialog_yewai_xixiazhongxingfu_110041.lua												
103000	/dialog/readme/dialog_readme_weiwangshop.lua												
103050	/dialog/machang/dialog_machang_killitem.lua												
103060	/dialog/weibo/dialog_weibo.lua												
#	成三边塞任务添加												
110000	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_1xiangzi.lua												
110001	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_2paozi.lua												
110002	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_3tuteng.lua												
110003	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_4xingshencao.lua												
110004	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_5daofu.lua												
110005	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_6gumubaowu.lua												
110006	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_7faqi.lua												
110007	/growpoint/biansaijuqing/growpoint_biansaijuqing_0_8xiongqi.lua												
110008	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_1xiangzi.lua												
110009	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_2paozi.lua												
110010	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_3tuteng.lua												
110011	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_4xingshencao.lua												
110012	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_5daofu.lua												
110013	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_6gumubaowu.lua												
110014	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_7faqi.lua												
110015	/growpoint/biansaijuqing/growpoint_biansaijuqing_1_8xiongqi.lua												
110016	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_1xiangzi.lua												
110017	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_2paozi.lua												
110018	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_3tuteng.lua												
110019	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_4xingshencao.lua												
110020	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_5daofu.lua												
110021	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_6gumubaowu.lua												
110022	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_7faqi.lua												
110023	/growpoint/biansaijuqing/growpoint_biansaijuqing_2_8xiongqi.lua												
110024	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_1xiangzi.lua												
110025	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_2paozi.lua												
110026	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_3tuteng.lua												
110027	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_4xingshencao.lua												
110028	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_5daofu.lua												
110029	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_6gumubaowu.lua												
110030	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_7faqi.lua												
110031	/growpoint/biansaijuqing/growpoint_biansaijuqing_3_8xiongqi.lua												
110032	/growpoint/biansaijuqing/growpoint_biansaijuqing_wangcheng1.lua												
110033	/growpoint/biansaijuqing/growpoint_biansaijuqing_wangcheng2.lua												
#	罕难河草原												
200000	/quest/hannanhecaoyuan/quest_hannanhecaoyuan_song.lua												
200001	/quest/hannanhecaoyuan/quest_hannanhecaoyuan_xinren.lua												
#	乞颜部大营												
200500	/quest/qiyanbudaying/quest_qiyanbudaying_bijian_5.lua												
200501	/quest/qiyanbudaying/quest_qiyanbudaying_xianranxinhao.lua												
200502	/quest/qiyanbudaying/quest_qiyanbudaying_xunwenzhuangkuang.lua												
200503	/quest/qiyanbudaying/quest_qiyanbudaying_bijian_1.lua												
#	乃蛮部大营												
202000	/quest/naimanbucaoyuan/quest_naimanbucaoyuan_yingjiu.lua												
202001	/quest/naimanbucaoyuan/quest_naimanbucaoyuan_chengjisihan.lua												
202002	/quest/naimanbucaoyuan/quest_naimanbucaoyuan_diyingmitan.lua												
#	金国居庸关												
203000	/quest/juyongguan/quest_juyongguan_hudao.lua												
203001	/quest/juyongguan/quest_juyongguan_cike.lua												
#	金国凤翔府												
203101	/quest/fengxiangfu/quest_fengxiangfu_dati.lua												
#	金国蔡州城												
#	阿尔泰山												
203110	/quest/aertaishan/quest_aertaishan_tuolei.lua												
203111	/quest/aertaishan/quest_aertaishan_shenwen.lua												
203112	/quest/aertaishan/quest_aertaishan_juezhan.lua												
#	西夏中兴府												
203300	/quest/zhongxingfu/quest_zhongxingfu_tala.lua												
203302	/quest/zhongxingfu/quest_zhongxingfu_huwei.lua												
203303	/quest/zhongxingfu/quest_zhongxingfu_yuweizhang.lua												
203304	/quest/zhongxingfu/quest_zhongxingfu_diyiyongshi.lua												
203305	/quest/zhongxingfu/quest_zhongxingfu_dati.lua												
203306	/quest/zhongxingfu/quest_zhongxingfu_liliang.lua												
#	西辽碎叶城												
203310	/quest/xiliaosuiyecheng/quest_xiliaosuiyecheng_quchulv.lua												
203311	/quest/xiliaosuiyecheng/quest_xiliaosuiyecheng_shalong.lua												
203312	/quest/xiliaosuiyecheng/quest_xiliaosuiyecheng_kanxi.lua												
#	突厥红沙漠												
203313	/quest/tujuehongshamo/quest_tujuehongshamo_kanxi.lua												
#	突厥玉龙城												
203314	/growpoint/yewai_yulongchijie/growpoint_yulongchijie_0.lua												
203315	/quest/yulongcheng/quest_yulongcheng_gongcheng.lua												
#	安庆路												
203316	/quest/anqinglu/quest_anqinglu_kanxi.lua												
#	波斯高原												
203317	/quest/bosigaoyuan/quest_bosigaoyuan_yingjiu.lua												
203318	/quest/bosigaoyuan/quest_bosigaoyuan_sihaifengwang.lua												
203320	/quest/bosigaoyuan/quest_bosigaoyuan_yongyetianlao.lua												
#	莫斯科公国												
203325	/quest/mosikegongguo/quest_mosike_mitan.lua												
203326	/dialog/yewai_mosike/dialog_yewai_mosikegongguo_117014.lua												
203327	/quest/mosikegongguo/quest_mosike_gounannv.lua												
203328	/quest/mosikegongguo/quest_mosike_toutinggounannv.lua												
203329	/dialog/yewai_mosike/dialog_yewai_mosikegongguo_117006.lua												
203330	/quest/mosikegongguo/quest_mosike_shadagong.lua												
203331	/quest/mosikegongguo/quest_mosike_quanxiang.lua												
#	后花园剧情												
203332	/quest/houhuayuan/quest_houhuayuan_shaqianda.lua												
203333	/quest/houhuayuan/quest_houhuayuan_fly0.lua												
203334	/quest/houhuayuan/quest_houhuayuan_fly1.lua												
203335	/quest/houhuayuan/quest_houhuayuan_end.lua												
#	基辅公国												
203336	/quest/jifugongguo/quest_jifu_kanxi1.lua												
203337	/quest/dunhuangwangcheng/quest_90mingyunshengjian.lua												
203338	/quest/jifugongguo/quest_jifu_zhaolong.lua												
203339	/quest/jifugongguo/quest_jifu_caijilushui.lua												
203340	/quest/jifugongguo/quest_jifu_suanming.lua												
203344	/quest/houhuayuan/quest_houhuayuan_area.lua												
#	波兰												
203345	/quest/dunhuangwangcheng/quest_92mengyishengjian.lua												
203346	/quest/bolanwangguo/quest_bolan_molu.lua												
203347	/dialog/juqing_bolanwangguo/dialog_juqing_bolanwangguo_118107.lua												
#	匈牙利王国												
203350	/quest/xiongyaliwangguo/quest_xiongyaliwangguo_shizijun.lua												
203351	/quest/xiongyaliwangguo/quest_xiongyaliwangguo_chuanjiaoshi.lua												
203352	/quest/xiongyaliwangguo/quest_xiongyaliwangguo_mitan.lua												
203353	/dialog/juqing_xiongyaliwangguo/dialog_juqing_xiongyaliwangguo_120118.lua												
203354	/quest/dunhuangwangcheng/quest_94zhengjiushengjian.lua												
#	神圣罗马帝国												
203360	/quest/dunhuangwangcheng/quest_96junwangshengjian.lua												
#	成3新手村												
203365	/quest/cheng3xinshoucun/quest_cheng3xinshoucun01_shengshanzhidian.lua												
203366	/quest/cheng3xinshoucun/quest_cheng3xinshoucun03_aoxiangbaxiongying.lua												
203367	/quest/cheng3xinshoucun/quest_cheng3xinshoucun04_zhizhejiaohui.lua												
203368	/quest/cheng3xinshoucun/quest_cheng3xinshoucun05_caoyuanshenbing.lua												
203369	/quest/cheng3xinshoucun/quest_cheng3xinshoucun06_zhenguilurong.lua												
203370	/quest/cheng3xinshoucun/quest_cheng3xinshoucun07_shenguyoulan.lua												
203371	/quest/cheng3xinshoucun/quest_cheng3xinshoucun_caoyuanzhihua_yehua.lua												
203372	/quest/cheng3xinshoucun/quest_cheng3xinshoucun08_shenqideliliang.lua												
203373	/quest/cheng3xinshoucun/quest_cheng3xinshoucun09_chuyuxianqing.lua												
203374	/quest/cheng3xinshoucun/quest_cheng3xinshoucun10_jiangshiweigui.lua												
203375	/quest/cheng3xinshoucun/quest_cheng3xinshoucun11_zhimianshadi.lua												
203376	/quest/cheng3xinshoucun/quest_cheng3xinshoucun12_jiaohuoliangju.lua												
203377	/quest/cheng3xinshoucun/quest_cheng3xinshoucun13_wangchengqiuyuan.lua												
203378	/quest/cheng3xinshoucun/quest_cheng3xinshoucun_wangchengqiuyuan_item.lua												
203379	/quest/cheng3xinshoucun/quest_cheng3xinshoucun14_jixingqianli.lua												
203380	/quest/cheng3xinshoucun/quest_cheng3xinshoucun02_zhanglaozhiyin.lua												
203381	/quest/cheng3xinshoucun/quest_cheng3xinshoucun15_didanghaidu.lua												
203382	/quest/cheng3xinshoucun/quest_cheng3xinshoucun16_chulinwangcheng.lua												
203383	/quest/cheng3xinshoucun/quest_cheng3xinshoucun_feixingbaohu.lua												
#	新手村												
203400	/quest/conglingmuchang/item_conglingmuchang_junxu.lua												
203401	/quest/conglingmuchang/quest_conglingmuchang_bailuzhanglao.lua												
203410	/quest/conglingmuchang/quest_conglingmuchang_canglangzhanglao.lua												
203411	/quest/conglingmuchang/quest_conglingmuchang_chiguidesuicong.lua												
203412	/quest/conglingmuchang/quest_conglingmuchang_xinbingruwu.lua												
