NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
索引	等级	奖励类型(0现银，1银卡，2现金，3金卡，4声望，5荣誉，6帮贡，10战场积分，15战车荣誉，17征服点数，101天赋，102经验，103陷阱，104物品)	奖励值（类型索引为104时，此列为道具ID）	数量	是否需要帮会（1需要，0不需要）	出现位置概率	概率1	概率2	概率3	概率4	概率5	概率6	概率7	概率8	概率9	概率10
0	1	1	1000	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
1	1	1	1000	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
2	1	1	2000	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
3	1	3	200	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
4	1	4	50	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
5	1	4	100	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
6	1	5	10	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
7	1	10	10	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
8	1	102	10000	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
9	1	102	30000	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
10	1	103	1	1	0	11|11|11|11|11|11|11|11|12	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1	1|1|1
11	20	1	1000	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
12	20	1	2000	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
13	20	1	3000	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
14	20	1	4000	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
15	20	1	5000	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
16	20	1	6000	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
17	20	1	7000	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
18	20	1	8000	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
19	20	1	9000	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
20	20	1	10000	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
21	20	3	100	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
22	20	3	200	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
23	20	3	300	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
24	20	3	400	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
25	20	3	500	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
26	20	3	600	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
27	20	3	700	1	0	11|11|11|11|11|11|11|11|12	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80	80|80|80
28	20	3	800	1	0	11|11|11|11|11|11|11|11|12	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60	60|60|60
29	20	3	900	1	0	11|11|11|11|11|11|11|11|12	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40	40|40|40
30	20	3	1000	1	0	11|11|11|11|11|11|11|11|12	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20	20|20|20
31	20	4	50	1	0	11|11|11|11|11|11|11|11|12	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180	180|180|180
32	20	4	100	1	0	11|11|11|11|11|11|11|11|12	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160	160|160|160
33	20	4	150	1	0	11|11|11|11|11|11|11|11|12	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140	140|140|140
34	20	4	200	1	0	11|11|11|11|11|11|11|11|12	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120	120|120|120
35	20	4	250	1	0	11|11|11|11|11|11|11|11|12	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100	100|100|100
