NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT
编号	子编号	场景编号	名字	坐标（X）	坐标（Y）	class	场景等级	进入等级	图片上位置	需要的银币（不需要的话，填0）	所需要的物品ID	任务号	背景	起始点场景编号	坐标（X）	坐标（Z）	起始点场景名字
0	3	87	王国-[1级]哲别村	301	236	100	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
1	0	50	王国-[10级]中心广场	254.789841	116.728592	100	1	10	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
2	4	89	王国-[10级]楼兰马场	42	127	100	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	254.789841	116.728592	王城·中心广场
3	3	87	王国-[1级]哲别村	301	236	103	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	301	236	哲别村
4	0	50	王国-[10级]中心广场	254.789841	116.728592	103	1	10	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	301	236	哲别村
5	4	89	王国-[10级]楼兰马场	42	127	103	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	87	301	236	哲别村
6	3	87	王国-[1级]哲别村	301	236	104	1	1	x:0.4 y:0.2	0	-1	-1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
7	0	50	王国-[10级]中心广场	254.789841	116.728592	104	1	10	x:0.6 y:0.2	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
8	4	89	王国-[10级]楼兰马场	42	127	104	1	1	x:0.8 y:0.2	0	-1	1501	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	89	42	127	楼兰马场
9	11	0	大都-[40级]大都·中心城	255	224	105	1	40	x:0.5 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
10	16	0	大都-[40级]大都·崇天门	255.028854	160.864517	105	1	40	x:0.5 y:0.2	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
11	14	0	大都-[40级]大都·大相国寺	105.080017	145.245483	105	1	40	x:0.35 y:0.18	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
12	19	0	大都-[40级]大都·赵王府	404.755524	116.343918	105	1	40	x:0.65 y:0.15	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	255	224	大都·中心城
13	27	0	大都-[40级]大都·光明顶	64	214	105	1	40	x:0.34 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	0	255	224	大都·中心城
14	28	0	大都-[40级]大都·盐帮码头	375	206	105	1	40	x:0.64 y:0.37	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	0	255	224	大都·中心城
15	29	0	大都-[40级]大都·天坛	255	318	105	1	40	x:0.5 y:0.6	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	0	255	224	大都·中心城
