NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID	功能名称	国民权限（1开，0关）	卫队权限（1开，0关）	护卫预留1权限（1开，0关）	护卫预留2权限（1开，0关）	左丞权限（1开，0关）	右相权限（1开，0关）	大将军权限（1开，0关）	王后权限（1开，0关）	国王权限（1开，0关）	青龙之主权限（1开，0关）	青龙守护权限（1开，0关）	朱雀之主权限（1开，0关）	朱雀守护权限（1开，0关）
0	任免大将军	0	0	0	0	0	0	0	0	1	0	0	0	0
1	任免左丞	0	0	0	0	0	0	0	0	1	0	0	0	0
2	任免右相	0	0	0	0	0	0	0	0	1	0	0	0	0
3	任免御前左护卫	0	0	0	0	0	0	1	0	0	0	0	0	0
4	任免御前右护卫	0	0	0	0	0	0	1	0	0	0	0	0	0
5	发布御龙令	0	0	0	0	0	1	0	0	1	0	0	0	0
6	发布虎威令	0	0	0	0	0	0	1	0	1	0	0	0	0
7	发布天戈令（金矿洞）	0	0	0	0	1	0	0	0	1	0	0	0	0
8	发布天戈令（轮回台）	0	0	0	0	0	0	0	0	0	0	0	0	0
9	发布天戈令（战神墓）	0	0	0	0	0	0	0	0	0	0	0	0	0
10	发布天行令	0	0	0	0	0	1	0	0	1	0	0	0	0
11	修改国家公告	0	0	0	0	0	0	0	0	1	0	0	0	0
12	国家募集	0	0	0	0	0	0	0	0	1	0	0	0	0
13	国民禁言	0	0	0	0	0	0	0	0	1	0	0	0	0
14	国民囚禁	0	0	0	0	0	0	0	0	1	0	0	0	0
15	国民赦免	0	0	0	0	0	0	0	0	1	0	0	0	0
16	国榜查询	1	1	1	1	1	1	1	1	1	1	1	1	1
17	国家资源	1	1	1	1	1	1	1	1	1	1	1	1	1
18	国运预约	0	0	0	0	0	1	0	0	1	0	0	0	0
19	出国预约	0	0	0	0	0	0	1	0	1	0	0	0	0
20	国家募集预约	0	0	0	0	0	0	0	0	1	0	0	0	0
21	战车令预约	0	0	0	0	0	1	0	0	1	0	0	0	0
