NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID	功能名称	平民权限	皇帝权限	皇后权限	大将军王权限	前将军权限	左将军权限	右将军权限	太师权限	大司马权限	大司农权限	大学士权限
0	任免柱国亲王	0	1	0	0	0	0	0	0	0	0	0
1	任免前将军	0	0	0	1	0	0	0	0	0	0	0
2	任免左将军	0	0	0	1	0	0	0	0	0	0	0
3	任免右将军	0	0	0	1	0	0	0	0	0	0	0
4	任免太师	0	1	0	0	0	0	0	0	0	0	0
5	任免大司马	0	0	0	0	0	0	0	1	0	0	0
6	任免大司农	0	0	0	0	0	0	0	1	0	0	0
7	任免大学士	0	0	0	0	0	0	0	1	0	0	0
8	设置帝国公告	0	1	0	0	0	0	0	0	0	0	0
9	子民禁言	0	1	0	0	0	0	0	0	0	0	0
10	发布双倍令	0	1	0	0	0	0	0	0	0	0	0
11	发布战神令	0	1	0	0	0	0	0	1	0	0	0
12	发布魔君令	0	1	0	1	0	0	0	0	0	0	0
