NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM
ID	帮会功能	预留职位权限（1开，0关）	帮众权限（1开，0关）	黄金家族权限（1开，0关）	家族长权限（1开，0关）	副帮主权限（1开，0关）	帮主权限（1开，0关）
0	"职务调动权 (任命, 任免)"	0	0	0	0	1	1
1	权限调整权	0	0	0	0	0	1
2	"接收帮众权 (同意, 拒绝)"	0	0	0	0	1	1
3	开除帮众权	0	0	0	0	0	1
4	禅让权	0	0	0	1	1	1
5	支取帮资权	0	0	0	0	0	1
6	存入金额权	0	0	0	0	0	1
7	离开帮会权	0	1	0	0	0	0
8	解散帮会权	0	0	0	0	0	1
9	添加家族成员	0	0	0	1	0	1
10	删除家族成员	0	0	0	1	0	1
11	帮会升级	0	0	0	0	0	1
12	建立家族	0	0	0	0	1	1
13	修改称号	0	0	0	0	1	1
14	解散家族	0	0	0	0	0	1
15	修改宗旨	0	0	0	0	0	1
16	邀请权	0	0	0	0	1	1
17	转移成员权	0	0	0	0	1	1
18	任命	0	0	0	0	1	1
19	取消任命	0	0	0	0	1	1
20	辞职	0	0	0	1	1	0
21	修改家族名	0	0	0	0	1	1
22	查看帮会属性	0	1	1	1	1	1
23	修改活跃度参数	0	0	0	0	1	1
