NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT
任务ID	完成此任务事件类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	完成此任务事件任务标识位（0~7）	完成此任务事件寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	完成此任务事件寻路ID	事件冒泡提示ID	接受下一个任务的任务号和传入按钮ID	完成任务时候传入的按钮号（暂无用处以后扩展用by思雨）	事件1类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	事件1任务标识位（0~7）	事件1寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	事件1寻路ID	事件1冒泡提示ID	事件1任务目标详细内容（0采集，2自动杀怪，5使用物品 用|隔开，|前为目标ID，|后为目标数量。1对话，3捉马，4区域探索为相应任务位的值）	事件2类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	事件2任务标识位（0~7）	事件2寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	事件2寻路ID	事件2冒泡提示ID	事件2任务目标详细内容（0采集，2自动杀怪，3捉马，5使用物品 用|隔开，|前为目标ID，|后为目标数量。1对话，4区域探索为相应任务位的值）	事件3类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	事件3任务标识位（0~7）	事件3寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	事件3寻路ID	事件3冒泡提示ID	事件3任务目标详细内容（0采集，2自动杀怪，3捉马，5使用物品 用|隔开，|前为目标ID，|后为目标数量。1对话，4区域探索为相应任务位的值）	事件4类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	事件4任务标识位（0~7）	事件4寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	事件4寻路ID	事件4冒泡提示ID	事件4任务目标详细内容（0采集，2自动杀怪，3捉马，5使用物品 用|隔开，|前为目标ID，|后为目标数量。1对话，4区域探索为相应任务位的值）	事件5类型（0为采集，1为对话，2为自动杀怪，3为捉马，4为区域探索，5为使用物品）	事件5任务标识位（0~7）	事件5寻路方式（0代表默认形式，1代表以职业区分2以国家区分）	事件5寻路ID	事件5冒泡提示ID	事件5任务目标详细内容（0采集，2自动杀怪，3捉马，5使用物品 用|隔开，|前为目标ID，|后为目标数量。1对话，4区域探索为相应任务位的值）
#	新手村																																				
3200	-1	-1	-1	-1	-1	-1	-1	1	0	0	138001	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3201	-1	-1	-1	-1	-1	-1	-1	1	0	0	138001	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3202	-1	-1	-1	-1	-1	-1	-1	1	0	0	138002	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3203	-1	-1	-1	-1	-1	-1	-1	1	0	0	138002	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3204	-1	-1	-1	-1	-1	-1	-1	1	0	1	138012|138013|138014|138015|138016|138017|138018|138019|138020|138021|138022|138023	-1	1	1	0	1	138004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3205	-1	-1	-1	-1	-1	-1	-1	2	0	0	80000	-1	11971|3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3206	-1	-1	-1	-1	-1	-1	-1	0	0	0	80001	-1	230|1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3211	-1	-1	-1	-1	-1	-1	-1	3	0	0	80004	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
