NUM	NUM	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	CNC	NUM	TEXT	FLOAT	FLOAT	NUM	FLOAT	NUM	NUM	NUM
ID	模型ID	头像名称	场景ID	特别光效1	特别光效1位置	特别光效2	特别光效2位置	特别光效3	特别光效3位置	特别光效4	特别光效4位置		复活时间	名称	坐标X	坐标Z	产生道具ID	行走速度	朝向	行动方式（1：不动的；2：随机移动的）	镜像组
1	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	87										1000	草原野马	416	140	-1	2000	0	2	0
2	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	87										1000	草原野马	420	144	-1	2000	0	2	0
3	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	87										1000	草原野马	424	148	-1	2000	0	2	0
4	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	87										1000	草原野马	405	127	-1	2000	0	2	0
5	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	87										1000	草原野马	408	130	-1	2000	0	2	0
6	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	87										1000	草原野马	411	133	-1	2000	0	2	0
7	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	87										1000	草原野马	414	136	-1	2000	0	2	0
8	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	87										1000	草原野马	417	139	-1	2000	0	2	0
9	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	87										1000	草原野马	420	142	-1	2000	0	2	0
10	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	87										1000	草原野马	396	146	-1	2000	0	2	0
11	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	87										1000	草原野马	400	149	-1	2000	0	2	0
12	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	87										1000	草原野马	404	152	-1	2000	0	2	0
13	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	87										1000	草原野马	408	155	-1	2000	0	2	0
14	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	87										1000	草原野马	412	158	-1	2000	0	2	0
15	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	87										1000	草原野马	416	161	-1	2000	0	2	0
16	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	87										1000	草原野马	420	164	-1	2000	0	2	0
17	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	187										1000	草原野马	416	140	-1	2000	0	2	0
18	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	187										1000	草原野马	420	144	-1	2000	0	2	0
19	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	187										1000	草原野马	424	148	-1	2000	0	2	0
20	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	187										1000	草原野马	405	127	-1	2000	0	2	0
21	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	187										1000	草原野马	408	130	-1	2000	0	2	0
22	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	187										1000	草原野马	411	133	-1	2000	0	2	0
23	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	187										1000	草原野马	414	136	-1	2000	0	2	0
24	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	187										1000	草原野马	417	139	-1	2000	0	2	0
25	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	187										1000	草原野马	420	142	-1	2000	0	2	0
26	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	187										1000	草原野马	396	146	-1	2000	0	2	0
27	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	187										1000	草原野马	400	149	-1	2000	0	2	0
28	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	187										1000	草原野马	404	152	-1	2000	0	2	0
29	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	187										1000	草原野马	408	155	-1	2000	0	2	0
30	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	187										1000	草原野马	412	158	-1	2000	0	2	0
31	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	187										1000	草原野马	416	161	-1	2000	0	2	0
32	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	187										1000	草原野马	420	164	-1	2000	0	2	0
33	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	287										1000	草原野马	416	140	-1	2000	0	2	0
34	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	287										1000	草原野马	420	144	-1	2000	0	2	0
35	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	287										1000	草原野马	424	148	-1	2000	0	2	0
36	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	287										1000	草原野马	405	127	-1	2000	0	2	0
37	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	287										1000	草原野马	408	130	-1	2000	0	2	0
38	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	287										1000	草原野马	411	133	-1	2000	0	2	0
39	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	287										1000	草原野马	414	136	-1	2000	0	2	0
40	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	287										1000	草原野马	417	139	-1	2000	0	2	0
41	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	287										1000	草原野马	420	142	-1	2000	0	2	0
42	1101	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	287										1000	草原野马	396	146	-1	2000	0	2	0
43	1099	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_1	287										1000	草原野马	400	149	-1	2000	0	2	0
44	1100	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_11	287										1000	草原野马	404	152	-1	2000	0	2	0
45	1104	set:CJSH_Monster_touxiang_3 image:CJSH_Monster_touxiang_3_2	287										1000	草原野马	408	155	-1	2000	0	2	0
46	1103	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_12	287										1000	草原野马	412	158	-1	2000	0	2	0
47	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	287										1000	草原野马	416	161	-1	2000	0	2	0
