NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	TEXT	NUM	TEXT	
ID编号	分类编号（互斥用）	PRI优先级别	叠加层数z	图标	触发特殊光效ID	触发特殊光效的音效ID	触发特殊光效的绑定点	持续性特殊光效ID	持续特殊光效的音效ID	持续性特殊光效的绑定点	死亡复活后是否保留	是否可以被相关技能驱散	是否为负面效果	是否可以被玩家手动取消	是否为子弹效果	子弹文件名称	子弹触发的绑定点	子弹的命中点	是否为线性特殊光效	自身效果TIPS	是否显示图标	目标效果TIPS	
1	1		1	Ability_Food_216			人物身体前置点			人物身体受击点	0	1	0	1	0	0			0	长生诀：回复50%生命同时耐力提高50%	1	长生诀：回复50%生命同时耐力提高50%	
2	2		1	Ability_Food_217			人物身体前置点			人物身体受击点	0	1	0	1						圣灵之佑：所有伤害减免75%	1	圣灵之佑：所有伤害减免75%	
3	3		1	Ability_Food_218			人物身体前置点			人物身体受击点	0	1	0	1						狂放：暴击提高75%	1	狂放：暴击提高75%	
4	4		1	Ability_Food_219			人物身体前置点			人物身体受击点	0	1	0	1						千机变：闪避降低20%，暴击率提高10%	1	千机变：闪避降低20%，暴击率提高10%	
5	5		1	Ability_Food_220			人物身体前置点			人物身体受击点	0	1	0	1						力量怒吼：力量提高10%	1	力量怒吼：力量提高10%	
6	6		1	Ability_Food_221			人物身体前置点			人物身体受击点	0	1	0	1						狮吼：防御提高100点	1	狮吼：防御提高100点	
362	362	10	1	Han2_Item_Hellequip_5_3			人物身体受击点	界面_掉落_01		人物身体受击点	0	1	0	0						雪人祝福：被圣诞节幸福欢乐的气氛所感染，提高魅力与幸运度，幸福指数达100%。	1	沉浸在圣诞节快乐的气氛中。	
496	496	10	1	KHan2_zhanche_02_6			人物脚部绑定点	npc_新战车无敌状态_01		人物脚部绑定点	0	1	0	0						防护罩：无敌	1	防护罩：无敌	
497	497	10	1	CJSH_skill_xianzhi_1_15			人物身体受击点	npc_新战车加速状态_01		人物身体受击点	0	1	0	0						突进：移动速度增加100%	1	突进：移动速度增加100%	
498	498	10	1	KHan2_zhanche_02_7			人物脚部绑定点	npc_新战车强攻状态_01		人物脚部绑定点	0	1	0	0						强击：攻击增加1000	1	强击：攻击增加1000	
499	499	10	1	KHan2_zhanche_02_8			人物脚部绑定点	npc_新战车强防状态_01		人物脚部绑定点	0	1	0	0						加厚：防御增加800	1	加厚：防御增加800	
504	504	10	1	KHan2_zhanche_02_2			人物身体受击点	npc_新战车减速状态_01		人物身体受击点	0	1	1	0						减速：移动速度降低50%	1	减速：移动速度降低50%	
505	505	10	1	KHan2_zhanche_02_9			人物身体受击点	npc_新战车腐蚀状态_01		人物身体受击点	0	1	1	0						腐蚀：战车持续受损	1	腐蚀：战车持续受损	
506	506	10	1	CJSH_fuben_2_1			人物身体前置点			人物头部绑定点	0	1	1	0						眩晕	1	眩晕	
508	508	10	1	CJSH_wanfa_add_1_12			人物身体前置点			人物头部绑定点	0	1	1	0						碎甲：防御降低200点	1	碎甲：防御降低200点	
#																							
600	600	10	1	CJSH_wanfa_add_1_12			人物身体前置点			人物头部绑定点	0	1	1	0						命中+99999	1	命中+99999	
#	战车附魔																						
1000	1000	10	1	CJSH_wanfa_add_3_1							1	0	0	0						战车守护: 将战车属性加成到角色身上，一级守护石效果。	1	战车守护: 将战车属性加成到角色身上，一级守护石效果。	
