NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	TEXT
组合ID编号（从小到大，优先级依次提高）	组合名称	需求牌型1	需求牌型2	需求牌型3	强化属性ID	强化数值	特效
9	任意顺	-1	-1	-1	149	1	
10	任意刻	-1	-1	-1	149	1	
11	任意将	-1	-1	-1	149	1	
12	任意条顺	6	6	6	149	2	
13	任意筒顺	7	7	7	151	2	
14	任意万顺	8	8	8	150	2	
15	任意条刻	6	6	6	149	2	
16	任意筒刻	7	7	7	151	2	
17	任意万刻	8	8	8	150	2	
18	任意条将	6	6	-1	149	2	
19	任意筒将	7	7	-1	151	2	
20	任意万将	8	8	-1	150	2	
90	中将	19|69|119|169|219|269|319	19|69|119|169|219|269|319	-1	163	2	
91	发将	20|70|120|170|220|270|320	20|70|120|170|220|270|320	-1	163	2	
92	白将	21|71|121|171|221|271|321	21|71|121|171|221|271|321	-1	163	2	
93	5条将	35|85|135|185|235|285|335	35|85|135|185|235|285|335	-1	149	4	
94	5筒将	45|95|145|195|245|295|345	45|95|145|195|245|295|345	-1	151	4	
95	5万将	55|105|155|205|255|305|355	55|105|155|205|255|305|355	-1	150	4	
96	箭将	3	3	-1	163	2	
97	风将	2	2	-1	163	2	
98	箭刻	3	3	3	163	1	
99	风刻	2	2	2	163	1	
100	条123	31|81|131|181|231|281|331	32|82|132|182|232|282|332	33|83|133|183|233|283|333	149	4	
101	条456	34|84|134|184|234|284|334	35|85|135|185|235|285|335	36|86|136|186|236|286|336	149	4	
102	条789	37|87|137|187|237|287|337	38|88|138|188|238|288|338	39|89|139|189|239|289|339	149	4	
103	筒123	41|91|141|191|241|291|341	42|92|142|192|242|292|342	43|93|143|193|243|293|343	151	4	
104	筒456	44|94|144|194|244|294|344	45|95|145|195|245|295|345	46|96|146|196|246|296|346	151	4	
105	筒789	47|97|147|197|247|297|347	48|98|148|198|248|298|348	49|99|149|199|249|299|349	151	4	
106	万123	51|101|151|201|251|301|351	52|102|152|202|252|302|352	53|103|153|203|253|303|353	150	4	
107	万456	54|104|154|204|254|304|354	55|105|155|205|255|305|355	56|106|156|206|256|306|356	150	4	
108	万789	57|107|157|207|257|307|357	58|108|158|208|258|308|358	59|109|159|209|259|309|359	150	4	
109	东刻	15|65|115|165|215|265|315	15|65|115|165|215|265|315	15|65|115|165|215|265|315	163	7	
110	南刻	16|66|116|166|216|266|316	16|66|116|166|216|266|316	16|66|116|166|216|266|316	163	7	
111	西刻	17|67|117|167|217|267|317	17|67|117|167|217|267|317	17|67|117|167|217|267|317	163	7	
112	北刻	18|68|118|168|218|268|318	18|68|118|168|218|268|318	18|68|118|168|218|268|318	163	7	
113	中刻	19|69|119|169|219|269|319	19|69|119|169|219|269|319	19|69|119|169|219|269|319	149	4	
114	发刻	20|70|120|170|220|270|320	20|70|120|170|220|270|320	20|70|120|170|220|270|320	150	4	
115	白刻	21|71|121|171|221|271|321	21|71|121|171|221|271|321	21|71|121|171|221|271|321	151	4	
116	2条刻	32|82|132|182|232|282|332	32|82|132|182|232|282|332	32|82|132|182|232|282|332	149	4	
117	5条刻	35|85|135|185|235|285|335	35|85|135|185|235|285|335	35|85|135|185|235|285|335	149	4	
118	8条刻	38|88|138|188|238|288|338	38|88|138|188|238|288|338	38|88|138|188|238|288|338	149	4	
119	2筒刻	42|92|142|192|242|292|342	42|92|142|192|242|292|342	42|92|142|192|242|292|342	151	4	
120	5筒刻	45|95|145|195|245|295|345	45|95|145|195|245|295|345	45|95|145|195|245|295|345	151	4	
121	8筒刻	48|98|148|198|248|298|348	48|98|148|198|248|298|348	48|98|148|198|248|298|348	151	4	
122	2万刻	52|102|152|202|252|302|352	52|102|152|202|252|302|352	52|102|152|202|252|302|352	150	4	
123	5万刻	55|105|155|205|255|305|355	55|105|155|205|255|305|355	55|105|155|205|255|305|355	150	4	
124	8万刻	58|108|158|208|258|308|358	58|108|158|208|258|308|358	58|108|158|208|258|308|358	150	4	
125	2条将	32|82|132|182|232|282|332	32|82|132|182|232|282|332	-1	149	4	
126	2筒将	42|92|142|192|242|292|342	42|92|142|192|242|292|342	-1	151	4	
127	2万将	52|102|152|202|252|302|352	52|102|152|202|252|302|352	-1	150	4	
128	8条将	38|88|138|188|238|288|338	38|88|138|188|238|288|338	-1	149	4	
129	8筒将	48|98|148|198|248|298|348	48|98|148|198|248|298|348	-1	151	4	
130	8万将	58|108|158|208|258|308|358	58|108|158|208|258|308|358	-1	150	4	
