NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM
聊天ID	聊天名称	发布间隔（秒）	内容前标识	花费类型1（1:银卡,5：道具，-1：不消耗）	花费值1	花费类型2	花费数值2	花费类型3	花费数值3	所需等级
0	附近频道	1	附近	-1	0	-1	0	-1	0	0
1	队伍频道	1	队伍	-1	0	-1	0	-1	0	0
2	世界频道	1	世界	1	1000	-1	0	-1	0	0
3	私聊频道	1	私聊	-1	0	-1	0	-1	0	0
4	系统频道	1	系统	-1	0	-1	0	-1	0	0
5	家族频道	1	家族	-1	0	-1	0	-1	0	0
6	帮会频道	1	帮会	-1	0	-1	0	-1	0	0
7	国家频道	1	国家	-1	0	-1	0	-1	0	0
14	小喇叭频道	1	小喇叭	5	430004	-1	0	-1	0	0
15	对话	1	对话	-1	0	-1	0	-1	0	0
18	谣言频道	30	谣言	1	2000	-1	0	-1	0	0
19	谣言小喇叭频道	1	谣言小喇叭	5	429999	-1	0	-1	0	0
20	团队频道	1	团队	-1	0	-1	0	-1	0	0
