NUM	TEXT	NUM	NUM	NUM	NUM	NUM
死亡所在场景编号	死亡所在场景名	回城复活去往场景ID	可否原地	复活途径2	坐标（X）	坐标（Y）
0	大都	-1	1	2	250	110
1	登陆界面	1	1	1	92	171
2	泰山	-1	1	2	250	110
3	中兴府	-1	1	2	250	110
4	太行山	-1	1	2	250	110
5	凤翔府	-1	1	2	250	110
6	蔡州城	-1	1	2	250	110
7	秦岭	-1	1	2	250	110
8	金山	-1	1	2	250	110
9	碎叶城	-1	1	2	250	110
10	红沙漠	-1	1	2	250	110
11	撒马尔罕	-1	1	2	250	110
12	监狱	12	1	1	25	15
13	巴格达	-1	1	2	20	20
14	大都美丽会	14	1	1	29	21
15	威海港	-1	1	2	162	115
16	波斯高原	-1	1	2	250	110
17	莫斯科公国	-1	1	2	250	110
18	基辅公国	-1	1	2	250	110
19	波兰王国	-1	1	2	250	110
20	匈牙利	-1	1	2	250	110
21	神圣罗马帝国	-1	1	2	100	100
22	拜占庭帝国	-1	1	2	100	100
23	大马士革	-1	1	2	100	100
24	耶路撒冷	-1	1	2	100	100
25	西奈半岛	-1	1	2	100	100
26	对马岛	-1	1	2	100	100
27	福冈	-1	1	2	100	100
28	演武场	-1	1	2	100	100
29	九州岛	-1	1	2	100	100
30	大理	-1	1	2	100	100
31	缅甸	-1	1	2	100	100
32	印度河	-1	1	2	100	100
33	婆罗洲	-1	1	2	100	100
34	爪哇岛	-1	1	2	100	100
35	苏门答腊	-1	1	2	100	100
36	大都·南	-1	1	2	250	110
37	大都·东	-1	1	2	250	110
38	大都·西	-1	1	2	250	110
39	天上人间·麒麟	39	1	1	204	203
40	天上人间·梦聊	40	1	1	127	140
41	皇城	-1	1	2	250	110
42	大都密室	-1	1	2	250	110
43	大都民居	-1	1	2	250	110
44	皇宫花园	-1	1	2	250	110
45	登录界面1	-1	1	2	250	110
46	公共场景预留	-1	1	2	250	110
47	公共场景预留	-1	1	2	250	110
48	公共场景预留	-1	1	2	250	110
49	公共场景预留	-1	1	2	250	110
50	楼兰王城	-1	1	2	250	110
51	楼兰边塞	-1	1	2	250	110
52	蒙古罕难河草原	52	1	1	123	59
53	蒙古乞颜部	53	1	1	82	149
54	蒙古克烈部	54	1	1	186	175
55	蒙古塔塔尔部	55	1	1	199	202
56	蒙古乃蛮部	56	1	1	83	123
57	居庸关	57	1	1	73	65
58	楼兰外城	-1	1	2	250	110
59	楼兰密室	-1	1	2	250	110
60	楼兰小屋	-1	1	2	250	110
61	蔡州城	61	1	1	115	82
62	王国密室	-1	1	2	250	110
63	王国小屋	-1	1	2	250	110
64	国家场景预留	-1	1	2	250	110
65	国家场景预留	65	1	1	196	209
66	国家场景预留	66	1	1	192.2	228.2
67	楼兰丝绸古道	-1	1	2	250	110
68	国家场景预留	-1	1	2	250	110
69	国家场景预留	69	1	1	115	258
70	楼兰王宫	-1	1	2	250	110
71	国家场景预留	71	1	1	115	258
72	国家场景预留	72	1	1	115	258
73	测试王城	73	1	1	100	100
74	测试边境	74	1	1	100	100
75	突厥里海魔岛迷宫	-1	1	2	250	110
76	暗道	-1	1	2	250	110
77	国家场景预留	77	1	1	100	100
78	俄罗斯公国	78	1	1	149	226
79	圣山地宫	-1	1	2	250	110
80	对马岛迷宫	-1	1	2	250	110
81	公共场景预留	-1	1	2	250	110
82	国家场景预留	82	1	1	97	106
83	圣山地宫	-1	1	2	250	110
84	圣山地宫	-1	1	2	250	110
85	圣山地宫	-1	1	2	250	110
86	葱岭古道	-1	1	2	250	110
87	楼兰猎场	87	1	1	299	318
88	国家场景预留	-1	1	2	250	110
89	葱岭草场	-1	1	2	250	110
90	东瀛岛	90	1	1	100	100
91	轮回之地	-1	1	2	32	32
92	跨服报名大厅	92	1	1	56	33
93	跨服报名大厅	93	1	1	56	33
94	跨服报名大厅	94	1	1	56	33
95	圣山地宫	-1	1	2	123	57
96	圣山地宫	-1	1	2	123	57
97	圣山地宫	-1	1	2	123	57
98	蒙古罕难河草原	-1	1	2	123	57
99	蒙古乞颜部	-1	1	2	123	57
100	蒙古塔塔尔部	-1	1	2	123	57
101	蒙古克烈部	-1	1	2	123	57
102	蒙古乃蛮部	-1	1	2	123	57
103	居庸关	-1	1	2	123	57
104	国家场景预留	-1	1	2	123	57
105	国家场景预留	-1	1	2	123	57
106	国家场景预留	-1	1	2	123	57
107	国家场景预留	-1	1	2	123	57
108	国家场景预留	-1	1	2	123	57
109	国家场景预留	-1	1	2	123	57
110	国家场景预留	-1	1	2	123	57
111	国家场景预留	-1	1	2	123	57
112	国家场景预留	-1	1	2	123	57
113	国家场景预留	-1	1	2	123	57
114	国家场景预留	-1	1	2	123	57
115	国家场景预留	-1	1	2	123	57
116	国家场景预留	-1	1	2	123	57
117	圣山地宫	-1	1	2	123	57
118	圣山地宫	-1	1	2	123	57
119	国家场景预留	-1	1	2	123	57
120	国家场景预留	-1	1	2	123	57
121	国家场景预留	-1	1	2	123	57
122	圣山地宫	-1	1	2	123	57
123	国家场景预留	-1	1	2	123	57
124	国家场景预留	-1	1	2	123	57
125	国家场景预留	-1	1	2	123	57
126	国家场景预留	-1	1	2	123	57
127	国家场景预留	-1	1	2	123	57
128	国家场景预留	-1	1	2	123	57
129	国家场景预留	-1	1	2	123	57
130	国家场景预留	-1	1	2	123	57
131	国家场景预留	-1	1	2	123	57
132	副本场景预留	132	1	1	100	100
133	副本场景预留	133	1	1	100	100
134	副本场景预留	134	1	1	100	100
135	副本场景预留	135	1	1	100	100
136	副本场景预留	136	1	1	100	100
137	副本场景预留	137	1	1	100	100
138	副本场景预留	138	1	1	100	100
139	副本场景预留	139	1	1	100	100
140	副本场景预留	140	1	1	100	100
141	副本场景预留	141	1	1	100	100
142	副本场景预留	142	1	1	100	100
143	副本场景预留	143	1	1	100	100
144	副本场景预留	144	1	1	100	100
145	副本场景预留	145	1	1	100	100
146	副本场景预留	146	1	1	100	100
147	副本场景预留	147	1	1	100	100
148	副本场景预留	148	1	1	100	100
149	基辅城战场	149	1	1	100	100
150	天山王城	-1	1	2	250	110
151	天山边塞	-1	1	2	250	110
152	蒙古罕难河草原	152	1	1	123	59
153	蒙古乞颜部	153	1	1	82	149
154	蒙古克烈部	154	1	1	186	175
155	蒙古塔塔尔部	155	1	1	199	202
156	蒙古乃蛮部	156	1	1	83	123
157	居庸关	157	1	1	73	65
158	天山外城	-1	1	2	250	110
159	天山密室	-1	1	2	250	110
160	天山小屋	-1	1	2	250	110
161	国家场景预留	161	1	1	115	82
162	王国密室	-1	1	2	250	110
163	王国小屋	-1	1	2	250	110
164	国家场景预留	-1	1	2	250	110
165	国家场景预留	165	1	1	196	209
166	国家场景预留	166	1	1	192.2	228.2
167	天山丝绸古道	-1	1	2	250	110
168	国家场景预留	-1	1	2	250	110
