NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引	激活类型名称	激活类型	需要件数Min	需要件数Max	装备星级	优先级	激活属性1	激活属性数值1	激活属性2	激活属性数值2
1	7星级装备属性激活（8件）	0	8	13	7	1	22	380	-1	-1
2	7星级装备属性激活（14件）	0	14	14	7	2	22	900	-1	-1
3	7星级装备属性激活（15件）	0	15	15	7	3	22	1100	-1	-1
4	8星级装备属性激活（8件）	0	8	13	8	4	22	1300	-1	-1
5	8星级装备属性激活（14件）	0	14	14	8	5	22	2000	-1	-1
6	8星级装备属性激活（15件）	0	15	15	8	6	22	2200	-1	-1
7	9星级装备属性激活（8件）	0	8	13	9	7	22	2400	-1	-1
8	9星级装备属性激活（14件）	0	14	14	9	8	22	3100	-1	-1
9	9星级装备属性激活（15件）	0	15	15	9	9	22	3200	-1	-1
10	10星级装备属性激活（8件）	0	8	13	10	10	22	3400	-1	-1
11	10星级装备属性激活（14件）	0	14	14	10	11	22	3800	-1	-1
12	10星级装备属性激活（15件）	0	15	15	10	12	22	4000	-1	-1
13	11星级装备属性激活（8件）	0	8	13	11	13	22	4300	-1	-1
14	11星级装备属性激活（14件）	0	14	14	11	14	22	4800	-1	-1
15	11星级装备属性激活（15件）	0	15	15	11	15	22	5000	-1	-1
16	12星级装备属性激活（8件）	0	8	13	12	16	22	5200	-1	-1
17	12星级装备属性激活（14件）	0	14	14	12	17	22	6000	-1	-1
18	12星级装备属性激活（15件）	0	15	15	12	18	22	6300	-1	-1
19	铭文装备属性激活（2件）	1	2	2	-1	-1	53	1	97	1
20	铭文装备属性激活（3件）	1	3	3	-1	-1	53	2	97	1
21	铭文装备属性激活（4件）	1	4	4	-1	-1	53	2	97	2
22	铭文装备属性激活（5件）	1	5	5	-1	-1	53	3	97	2
23	铭文装备属性激活（6件）	1	6	6	-1	-1	53	3	97	3
24	铭文装备属性激活（7件）	1	7	7	-1	-1	53	4	97	3
25	铭文装备属性激活（8件）	1	8	8	-1	-1	53	4	97	4
26	铭文装备属性激活（9件）	1	9	9	-1	-1	53	5	97	4
27	铭文装备属性激活（10件）	1	10	10	-1	-1	53	6	97	5
28	铭文装备属性激活（11件）	1	11	11	-1	-1	53	7	97	6
29	铭文装备属性激活（12件）	1	12	12	-1	-1	53	8	97	7
30	铭文装备属性激活（13件）	1	13	13	-1	-1	53	9	97	8
31	铭文装备属性激活（14件）	1	14	14	-1	-1	53	10	97	9
32	铭文装备属性激活（15件）	1	15	15	-1	-1	53	11	97	10
33	星座单链激活（4件）	2	4	4	-1	-1	237	2	-1	-1
34	星座单链激活（5件）	2	5	5	-1	-1	237	4	-1	-1
35	星座单链激活（6件）	2	6	6	-1	-1	237	5	-1	-1
36	星座单链激活（7件）	2	7	7	-1	-1	237	6	-1	-1
37	星座单链激活（8件）	2	8	8	-1	-1	237	7	-1	-1
38	星座单链激活（9件）	2	9	9	-1	-1	237	9	-1	-1
39	星座单链激活（10件）	2	10	10	-1	-1	237	10	-1	-1
40	星座单链激活（11件）	2	11	11	-1	-1	237	11	-1	-1
41	星座单链激活（12件）	2	12	12	-1	-1	237	12	-1	-1
42	星座单链激活（13件）	2	13	13	-1	-1	237	14	-1	-1
43	星座单链激活（14件）	2	14	14	-1	-1	237	15	-1	-1
44	星座双链激活（4件）	3	4	4	-1	-1	237	5	238	5
45	星座双链激活（5件）	3	5	5	-1	-1	237	8	238	7
46	星座双链激活（6件）	3	6	6	-1	-1	237	10	238	9
47	星座双链激活（7件）	3	7	7	-1	-1	237	13	238	11
48	星座双链激活（8件）	3	8	8	-1	-1	237	15	238	13
49	星座双链激活（9件）	3	9	9	-1	-1	237	18	238	15
50	星座双链激活（10件）	3	10	10	-1	-1	237	20	238	17
51	星座双链激活（11件）	3	11	11	-1	-1	237	23	238	19
52	星座双链激活（12件）	3	12	12	-1	-1	237	25	238	21
53	星座双链激活（13件）	3	13	13	-1	-1	237	28	238	23
54	星座双链激活（14件）	3	14	14	-1	-1	237	30	238	25
55	十星激活(8件6星激活）	4	8	13	6	-1	22	4300	-1	-1
56	十星激活(14件6星激活）	4	14	14	6	-1	22	4800	-1	-1
57	十星激活(15件6星激活）	4	15	15	6	-1	22	5000	-1	-1
58	十星激活(8件7星激活）	4	8	13	7	-1	22	5200	-1	-1
59	十星激活(14件7星激活）	4	14	14	7	-1	22	6000	-1	-1
60	十星激活(15件7星激活）	4	15	15	7	-1	22	6200	-1	-1
61	十星激活(8件8星激活）	4	8	13	8	-1	22	6400	163	1
62	十星激活(14件8星激活）	4	14	14	8	-1	22	7200	163	2
63	十星激活(15件8星激活）	4	15	15	8	-1	22	7400	163	2
64	十星激活(8件9星激活）	4	8	13	9	-1	22	7600	163	3
65	十星激活(14件9星激活）	4	14	14	9	-1	22	8500	163	5
66	十星激活(15件9星激活）	4	15	15	9	-1	22	8800	163	5
67	十星激活(8件10星激活）	4	8	13	10	-1	22	9000	163	8
68	十星激活(14件10星激活）	4	14	14	10	-1	22	10000	163	10
69	十星激活(15件10星激活）	4	15	15	10	-1	22	13000	163	10
