NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
ID	基本类型	Type类别	Index编号(物品号0~1000随机，1001~1999白装，2001~2999打造装备，3001~3999荣誉装备，4001~4999声望装备，6000~6999任务装备，7000~7001套装,9916~9999打造装)	颜色类型(白:1,绿:2,蓝:3,黄:4,紫:5)	装备点	物品适应规则	套装类型ID	Lv需求等级	天赋等级	个人等级	基础价格	完整耐久度(最大255)	有效期（单位小时）	天然星级	天然孔数	最大孔数	职业需求（填写职业编号）	装备牌型	装备分值	基础近程攻击	基础远程攻击	基础魔法攻击	基础近程防御	基础远程防御	基础魔法防御	生命	附加蓝属性ID1	附加蓝属性数值1	附加蓝属性ID2	附加蓝属性数值2	附加蓝属性ID3	附加蓝属性数值3	附加蓝属性ID4	附加蓝属性数值4	附加蓝属性ID5	附加蓝属性数值5	附加蓝属性ID6	附加蓝属性数值6	附加蓝属性ID7	附加蓝属性数值7	附加蓝属性ID8	附加蓝属性数值8	附加技能ID1	附加技能等级	附加技能ID2	附加技能等级	附加技能ID3	附加技能等级	附加技能ID4	附加技能等级	影响技能ID1	影响技能等级	影响技能ID2	影响技能等级	影响技能ID3	影响技能等级	影响技能ID4	影响技能等级	事件脚本ID	附加参数类型	参数	消耗量	拾取等级	物品排序	是否显示推荐使用（1显示，0不显示）	基础分值
####	以下是	武士武器																																																									-1	-1	0	0	1	-1
10010010	10	1	10	3	0	1	-1	1	-1	-1	100	50	-1	0	0	7	0	-1	0	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	415000	-1	0	0	1	-1	1	1
10010020	10	1	20	3	0	1	-1	10	-1	-1	120	62	-1	0	0	7	0	-1	0	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
10010030	10	1	30	3	0	1	-1	20	-1	-1	140	74	-1	0	0	7	0	-1	0	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
10010040	10	1	40	3	0	1	-1	30	-1	-1	160	86	-1	0	0	7	0	-1	0	42	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
10010050	10	1	50	3	0	1	-1	40	-1	-1	180	98	-1	0	0	7	0	-1	0	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
10010060	10	1	60	3	0	1	-1	50	-1	-1	200	110	-1	0	0	7	0	-1	0	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010070	10	1	70	3	0	1	-1	60	-1	-1	220	122	-1	0	0	7	0	-1	0	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010080	10	1	80	3	0	1	-1	70	-1	-1	240	134	-1	0	0	7	0	-1	0	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010090	10	1	90	3	0	1	-1	80	-1	-1	260	146	-1	0	0	7	0	-1	0	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010091	10	1	91	3	0	1	-1	46~50	-1	-1	280	158	-1	0	0	7	0	-1	0	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010092	10	1	92	3	0	1	-1	51~55	-1	-1	300	170	-1	0	0	7	0	-1	0	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010093	10	1	93	3	0	1	-1	56~60	-1	-1	320	182	-1	0	0	7	0	-1	0	78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010094	10	1	94	3	0	1	-1	61~65	-1	-1	340	194	-1	0	0	7	0	-1	0	84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010095	10	1	95	3	0	1	-1	66~70	-1	-1	360	206	-1	0	0	7	0	-1	0	90	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010096	10	1	96	3	0	1	-1	71~75	-1	-1	380	218	-1	0	0	7	0	-1	0	96	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010097	10	1	97	3	0	1	-1	76~80	-1	-1	400	230	-1	0	0	7	0	-1	0	102	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010098	10	1	98	3	0	1	-1	81~85	-1	-1	420	242	-1	0	0	7	0	-1	0	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010099	10	1	99	3	0	1	-1	86~90	-1	-1	440	254	-1	0	0	7	0	-1	0	114	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	0	1
10010201	10	1	201	5	0	1	-1	10	-1	-1	100	50	-1	0	0	7	0	-1	0	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
10010202	10	1	202	5	0	1	-1	20	-1	-1	200	62	-1	0	0	7	0	-1	0	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	1	-1	1	1
