NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
编号	注释	Mesh文件名	材质文件名	绑定点1	特效1	绑定点2	特效2	绑定点3	特效3	绑定点4	特效4	绑定点5	特效5	绑定点6	特效6	绑定点7	特效7	绑定点8	特效8
0																			
#头发																			
#职业第一套																			
1		男主角头发_01_new.mesh	男主角头发_01_new																
2		女主角头发_01_new.mesh	女主角头发_01_new																
3		波斯先知男头发_01.mesh	波斯先知男头发_01																
4		波斯先知女头发_01.mesh	波斯先知女头发_01																
5		草原骑射男头发_01.mesh	草原骑射男头发_01																
6		草原骑射女头发_01.mesh	草原骑射女头发_01																
7		地中海十字军男头发_01.mesh	地中海十字军男头发_01																
8		地中海十字军女头发_01.mesh	地中海十字军女头发_01																
9		高原喇嘛男头发_01.mesh	高原喇嘛男头发_01																
10		高原喇嘛女头发_01.mesh	高原喇嘛女头发_01																
11		江南剑侠男头发_01.mesh	江南剑侠男头发_01			 													
12		江南剑侠女头发_01.mesh	江南剑侠女头发_01																
13		蒙古近卫军男头发_01.mesh	蒙古近卫军男头发_01																
14		蒙古近卫军女头发_01.mesh	蒙古近卫军女头发_01																
15		斯拉夫隐修士男头发_01.mesh	斯拉夫隐修士男头发_01																
16		斯拉夫隐修士女头发_01.mesh	斯拉夫隐修士女头发_01																
17		突厥武士男头发_01.mesh	突厥武士男头发_01																
18		突厥武士女头发_01.mesh	突厥武士女头发_01																
19		西夏刺客男头发_01.mesh	西夏刺客男头发_01																
20		西夏刺客女头发_01.mesh	西夏刺客女头发_01																
21		西域圣火使男头发_01.mesh	西域圣火使男头发_01																
22		西域圣火使女头发_01.mesh	西域圣火使女头发_01																
23		雪山萨满男头发_01.mesh	雪山萨满男头发_01																
24		雪山萨满女头发_01.mesh	雪山萨满女头发_01																
25		中原火枪男头发_01.mesh	中原火枪男头发_01																
26		中原火枪女头发_01.mesh	中原火枪女头发_01																
27		波斯先知男头发_02.mesh	波斯先知男头发_02																
28		波斯先知女头发_02.mesh	波斯先知女头发_02																
29		草原骑射男头发_02.mesh	草原骑射男头发_02																
30		草原骑射女头发_02.mesh	草原骑射女头发_02																
31		地中海十字军男头发_02.mesh	地中海十字军男头发_02																
32		地中海十字军女头发_02.mesh	地中海十字军女头发_02																
33		高原喇嘛男头发_02.mesh	高原喇嘛男头发_02																
34		高原喇嘛女头发_02.mesh	高原喇嘛女头发_02																
35		江南剑侠男头发_02.mesh	江南剑侠男头发_02																
36		江南剑侠女头发_02.mesh	江南剑侠女头发_02																
37		蒙古近卫军男头发_02.mesh	蒙古近卫军男头发_02																
38		蒙古近卫军女头发_02.mesh	蒙古近卫军女头发_02																
39		斯拉夫隐修士男头发_02.mesh	斯拉夫隐修士男头发_02																
40		斯拉夫隐修士女头发_02.mesh	斯拉夫隐修士女头发_02																
41		突厥武士男头发_02.mesh	突厥武士男头发_02																
42		突厥武士女头发_02.mesh	突厥武士女头发_02																
43		西夏刺客男头发_02.mesh	西夏刺客男头发_02																
44		西夏刺客女头发_02.mesh	西夏刺客女头发_02																
45		西域圣火使男头发_02.mesh	西域圣火使男头发_02																
46		西域圣火使女头发_02.mesh	西域圣火使女头发_02																
47		雪山萨满男头发_02.mesh	雪山萨满男头发_02																
48		雪山萨满女头发_02.mesh	雪山萨满女头发_02																
49		中原火枪男头发_02.mesh	中原火枪男头发_02																
50		中原火枪女头发_02.mesh	中原火枪女头发_02																
51		波斯先知男头发_03.mesh	波斯先知男头发_03																
52		波斯先知女头发_03.mesh	波斯先知女头发_03																
53		草原骑射男头发_03.mesh	草原骑射男头发_03																
54		草原骑射女头发_03.mesh	草原骑射女头发_03																
55		地中海十字军男头发_03.mesh	地中海十字军男头发_03																
56		地中海十字军女头发_03.mesh	地中海十字军女头发_03																
57		高原喇嘛男头发_03.mesh	高原喇嘛男头发_03																
58		高原喇嘛女头发_03.mesh	高原喇嘛女头发_03																
59		江南剑侠男头发_03.mesh	江南剑侠男头发_03																
60		江南剑侠女头发_03.mesh	江南剑侠女头发_03																
61		蒙古近卫军男头发_03.mesh	蒙古近卫军男头发_03																
62		蒙古近卫军女头发_03.mesh	蒙古近卫军女头发_03																
