NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引(index)	物品规则名称	是否可重叠	是否可丢弃	是否可放入快捷键	是否可出售	是否可交易	是否可使用	是否可拾取绑定	是否可装备绑定	是否唯一	是否需要鉴定	是否为虚拟物品	是否可存入仓库	是否可以消耗
1	普通装备(装备绑定)	0	1	0	1	1	1	0	1	0	0	0	1	0
2	普通装备（拾取绑定）	0	1	0	1	0	1	1	1	0	0	0	1	0
3	普通物品（不绑定）	1	1	1	1	1	1	0	0	0	0	0	1	1
4	任务道具	1	0	0	0	0	0	1	0	0	0	0	0	0
5	材料	1	1	0	1	1	0	0	0	0	0	0	1	1
6	任务使用	1	0	1	0	0	1	1	0	0	0	0	0	1
7	扩展背包	0	1	0	1	1	1	0	1	0	0	0	1	0
8	宝石	0	1	0	1	1	0	0	0	0	0	0	1	1
9	高级宝石	0	1	0	1	0	0	1	0	0	0	0	1	1
10	普通点券	1	1	0	0	0	0	1	0	0	0	0	0	0
11	IB点券	1	1	0	1	1	0	0	0	0	0	0	0	0
12	万能传送符	1	1	1	1	1	1	0	0	0	0	0	1	0
13	马奶子	1	1	1	1	0	1	0	0	0	0	0	1	1
14	杀怪掉落物品	0	0	0	0	0	0	0	0	0	0	0	0	0
15	帮会战积分物品	0	0	0	0	0	0	0	0	0	0	0	0	0
16	药引	0	1	0	0	0	0	1	0	0	0	0	0	1
17	朋友道具	0	1	1	1	1	1	0	0	0	0	0	1	1
18	声望荣誉装备	0	1	0	1	0	1	1	1	1	0	0	1	0
19	可使用但不可快捷道具	0	1	0	1	1	1	0	0	0	0	0	1	1
20	PVE任务可交易的道具	1	1	0	1	1	0	0	0	0	0	0	0	0
21	普通装备(不绑定)	0	1	0	1	1	1	0	0	0	0	0	1	0
22	拾取绑定的普通道具	1	1	1	0	0	1	1	0	0	0	0	1	1
23	宝箱	0	1	0	1	0	1	1	0	0	0	0	1	0
24	国王坐骑	0	0	0	0	0	1	1	0	1	0	0	0	1
25	国王套装	0	1	0	0	0	1	1	0	1	0	0	0	0
26	配方（拾取绑定）	0	1	0	1	0	1	1	0	0	0	0	1	1
27	材料(拾取绑定)	1	1	0	1	0	0	1	0	0	0	0	1	1
28	普通物品（拾取绑定）	1	1	1	1	0	1	1	0	0	0	0	1	1
29	任务道具（绑定）	0	0	0	0	0	1	1	0	0	0	0	0	0
30	掉落道具	1	1	0	0	0	1	0	0	0	0	0	1	1
