NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引(index)	class类别	type类型：	Medindex编号：后三位	图标	名称	说明	物品使用等级	天赋等级	个人等级	职业需求（填写职业编号）	基础价格	出售价格	适应规则	叠加数量	脚本ID	技能ID	需求技能ID	需求技能级别	MAX持有数量	选择对象类别	是否需要广播	附加参数类别	参数值	消耗值	物品类型描述	掉落模型	掉落模型的特殊光效	掉落音效	物品名字颜色	动画帧	物品等级	效果ID编号	此物品是否为记次道具	有效的次数	配方ID编号	GemRework表索引	拾取等级	是否允许摆摊收购	物品排序	是否推荐使用（1显示，0不显示）	class类别为12的道具可为限时道具(-1:无时限)
11000001	11	0	1	CJSH_quest_mabian_1_1	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000002	11	0	2	CJSH_quest_yihai_1_3	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000003	11	0	3	CJSH_item_yaofen_1_1	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000004	11	0	4	CJSH_item_yaofen_1_2	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000005	11	0	5	CJSH_item_huizhang_1_5	废弃	废弃	1	-1	-1	99	2500	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000006	11	0	6	CJSH_item_zhipian_2_1	上古之力灵符	拥有上古力量的灵符，可以修复装备的有效时间至初始有效时间。	1	-1	-1	99	2000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	特修道具	掉落符文.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000007	11	0	7	CJSH_item_zhipian_2_2	上古之力神符	拥有上古力量的灵符，可以修复装备的有效时间至初始有效时间。	1	-1	-1	99	180000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	特修道具	掉落符文.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1	1	-1	0	-1
11000008	11	0	8	CJSH_item_yaofen_1_2	废弃	废弃	1	-1	-1	99	5000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落木头.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000100	11	0	100	CJSH_item_dakong_1	赤铜钻	赤色的铜制成的钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第一个孔。#r #r#g印度珠宝术（1级）#cC8B88E制作。#r #r适用装备：#O帽子、披风、衣服、护手、腰带、靴子、手镯#cC8B88E。	35	-1	-1	99	3000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_01.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1	1	-1	0	-1
11000101	11	0	101	CJSH_item_dakong_3	生铁钻	粗糙的生铁所制成的小钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第二个孔。#r #r#g印度珠宝术（3级）#cC8B88E制作。#r #r适用装备：#O帽子、披风、衣服、护手、腰带、靴子、手镯#cC8B88E。	35	-1	-1	99	6000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_07.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1	1	-1	0	-1
11000102	11	0	102	CJSH_item_dakong_7	白玉钻	天然白玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r#g印度珠宝术（5级）#cC8B88E制作。#r #r适用装备：#O手镯、护手、靴子#cC8B88E。	35	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1	1	-1	0	-1
