NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM
索引（index）	物品名称	物品ID	生成数量	对应的技能ID	技能等级需求（此列最低填1）	材料1ID	材料1数量	材料2ID	材料2数量	材料3ID	材料3数量	材料4ID	材料4数量	消耗活力	CD时间(毫秒)	需求道具ID	冷却组ID	增加熟练度（制作一次）	引导时间	时间脚本ID	描述	类别名称	消耗体力
0	天罡止血散	12010200	1	1	1	11020001	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
1	伸筋活血酒	12010300	1	1	1	11020001	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
2	小怒气丹	12020001	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
3	小疾风丹	12020002	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
4	小通络丹	12020003	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
5	小威灵丹	12020004	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
6	小玄冥丹	12020005	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
7	小理气丹	12020006	1	1	1	11020002	3	11990201	1	-1	-1	-1	-1	10	0	-1	-1	3	100	-1		恢复药水	0
8	小神力丸	12041011	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
9	小仙火丸	12041031	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
10	小魔道丸	12041021	1	1	2	11020001	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
11	极乐草	12050009	1	1	2	11020001	12	-1	-1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		马道具	0
12	小神甲丸	12041060	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
13	小神运丸	12041080	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
14	小神护丹	12041070	1	1	2	11020002	9	11990202	1	-1	-1	-1	-1	20	0	-1	-1	3	100	-1		增强药水	0
15	天王补心丹	12010201	1	1	3	11020006	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
16	龟鹿二仙胶	12010301	1	1	3	11020006	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
17	中怒气丹	12020011	1	1	3	11020007	4	11990203	1	-1	-1	-1	-1	30	0	-1	-1	3	100	-1		恢复药水	0
