NUM	TEXT	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT
编号	Npc名字	默认对白	Dialog脚本	任务、功能脚本	任务号1	任务号2	任务号3	任务号4	头顶标识	语音
#	罕难河草原	101000	101999							
101000	丘处机	\t如今宇内烽烟四起，乱世纷争，而能再次一统中华的英雄，已经出现！\n\t贫道丘处机，道号长春子，本在终南山修行，前不久奉恩师王重阳之命下山，寻找乱世中救民于水火的英雄！	-1		1|18				-1	
101001	铁木真	\t我的祖父，曾是这片草原上最强大的人，那时他被所有的部落推选为大汗，创下了辉煌的基业。#r\t虽然今非昔比，但总有一天我能重现祖父的荣光，再次征服这片草原。	-1		2|3|4|16|17				-1	
101002	木华黎	\t马贼都是些没胆子的家伙，除了逃跑的功夫一无可取，可恨我们没有换乘的马，总是追一段就要让马休息，这才让他们一直逍遥。	-1						-1	
101003	札木合	\t孛儿贴的心思真是难以猜测，我在她心中是什么地位？\n\t这次是个好机会，若能夺回孛儿贴的小马驹，一定能让孛儿贴对我另眼相看。	-1		20				-1	
101004	孛儿贴	\t总是有一些讨厌的人缠着我，甚至向父亲提亲。他们无非是垂涎我的容貌，互相毫不了解的人，将来在一起会过的很开心么？	-1		5|14|15				-1	
101005	德薛禅	\t身为一家之主看起来很风光，其实……很无奈。\n\t总是要做非常不情愿而又不得不去做即使做了也没有什么用的一些事情。	-1		6|7|8|10|13				-1	
101006	月伦夫人	\t铁木真这孩子，有时候脾气急了些。\n\t不过年轻人都有这毛病，等他娶了妻子，性子自然就好起来了。	-1		9				-1	
101007	速不台	\t铁木真这孩子，有时候脾气急了些。\n\t不过年轻人都有这毛病，等他娶了妻子，性子自然就好起来了。	-1		11				-1	
101009	雅苏	\t最近的日子越来越艰难了，眼看着我家老头子白发一天天多起来。马贼，熊群，哪一样都是不好对付的。	-1						-1	
101010	塔拉	\t我每天的工作就是放羊，自从熊群出现，我的工作就变成了割草回来喂羊，可是最近来的蔑里岂人，快要让我失业了！    	-1		19				-1	
101011	牧民	\t马贼…… 他们就象草原上的蝗虫一样，没有什么是他们不抢的。	-1						-1	
101012	行脚商人	\t我这里有各种草原上必备的货物。	-1	211024					0	
101013	草原游医	\t你受伤了吗？我可以给你免费治疗。	-1	222002					-1	
101020	钥匙老人	\t我是钥匙老人，我将陪伴你走完寻找二十四支神箭的历程。	-1	550000	3644|3645|3646|3647				9	
#	野外记忆之门		101021	101090						
101021	罕难河记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550546					9	
101022	乞颜记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550547					9	
101023	塔塔尔记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550548					9	
101024	克烈记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550549					9	
101025	乃蛮记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550550					9	
101026	居庸关记忆之门	\t想与成吉思汗一起并肩战斗吗，我可以送你回到过去。	-1	550551					9	
101028	凤翔府记忆之门	\t一扇奇异的大门出现在你的眼前，似乎有一种神秘而无形的力量在轻轻的把你召唤！	-1	550553					9	
101029	蔡州城记忆之门	\t一扇奇异的大门出现在你的眼前，似乎有一种神秘而无形的力量在轻轻的把你召唤！	-1	550554					9	
#	野外罕难河草原		101090	101100						
