NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
贵族等级	划拨金额	奖励物品1	数量	奖励物品2	数量	奖励物品3	数量	活力上限	体力上限	离线代练经验(%)	每日战车荣誉上限	每日荣誉上限(%)	每日藏宝洞次数	每日庄园种植次数	浮屠塔每天可增加次数
1	500	12250021	1					10	10	5	200	1	0	0	0
2	1000	12250021	1	11060001	1			30	30	5	280	1	0	0	0
3	2000	12250021	1	11060001	2			50	50	10	360	1	1	0	0
4	5000	12250022	1	11060001	2	12030097	20	70	70	15	440	2	1	1	1
5	10000	12250022	1	11060001	2	12030097	30	100	100	15	520	2	2	1	1
6	20000	12250022	2	11060001	2	12030097	40	130	130	20	600	3	2	2	1
7	50000	12250023	2	11060001	3	12030097	50	160	160	25	680	3	3	2	1
8	100000	12250023	2	11060001	4	12030097	60	200	200	30	760	4	3	3	2
9	150000	12250023	3	11060001	5	12030097	80	240	240	35	840	4	4	3	2
10	200000	12250024	4	11060001	6	12030097	100	300	300	40	1000	5	4	3	2
