NUM	TEXT	TEXT	TEXT	FLOAT	FLOAT	NUM	NUM	TEXT	TEXT	TEXT	NUM	
编号	MAP编号	NPC名字	NPC界面名字	坐标（X）	坐标（Y）	是否和NPC对话	NPC TYPE	NPC分类	快捷索引	在M地图上的图片	逻辑type （0默认，1图片）	
#	丁磊测试											
59635	50	通往王国草原罕难河	通往王国草原罕难河	50	47	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
29029	50	通往王国·哲别村	通往王国·哲别村	32	106	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
28968	50	通往王国·楼兰马场	通往王国·楼兰马场	479	98	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
29030	50	通往王国·楼兰边塞	通往王国·楼兰边塞	245	480	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50070	50	通往王国迷宫一层	通往王国迷宫一层	197	210	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50068	50	通往王国·王国密室	通往王国·王国密室	218	390	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_fangzi	0	
50069	50	通往王国·王国小屋	通往王国·王国小屋	245	197	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_fangzi	0	
50048	362	通往王国·敦煌王城	通往王国·敦煌王城	30	21.3	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50049	363	通往王国·敦煌王城	通往王国·敦煌王城	36	19	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50050	262	通往王国·昆仑王城	通往王国·昆仑王城	30	21.3	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50051	263	通往王国·昆仑王城	通往王国·昆仑王城	36	19	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50052	62	通往王国·楼兰王城	通往王国·楼兰王城	30	21.3	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
50053	63	通往王国·楼兰王城	通往王国·楼兰王城	36	19	0	5	区域	t	set:CJSH_npctop_1 image:CJSH_npctop_1_area	0	
