NUM	TEXT	TEXT	NUM	NUM	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM
索引Index	商店名字(最多8个字)	商店类型说明	回收类型（0代表不回收物品）	货币类型CU_SILLER,=0//银CU_BINDSILLER,=1//绑定的银CU_GOLD,=2//金CU_BINDGOLD,=3//绑定的金CU_CREDIT,=4//声望CU_HONOR,=5//荣誉CU_GP,=6//帮贡CU_COUNTRYCREDIT,=7	价格系数	兑换率(只有动态商店这里起作用)	商店类型（动态为1，否则0）	定时刷新	间隔刷新	商品数量	动态商店时间类别	起始时间	结束时间	卖出道具是否绑定（1，绑定；0，不绑定）	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记	商品编号	每组数量	有限商品的数量上限	价格	商品标记
1	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	12010001	1	1	-1	100	12010002	1	1	-1	100	12010003	1	1	-1	100	12010004	1	1	-1	100	12020001	1	1	-1	100	12020002	1	1	-1	100	12020003	1	1	-1	100	12020004	1	1	-1	100	12020005	1	1	-1	100	12020006	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
2	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	12010001	1	1	-1	100	12010002	1	1	-1	100	12010003	1	1	-1	100	12010004	1	1	-1	100	12020001	1	1	-1	100	12020002	1	1	-1	100	12020003	1	1	-1	100	12020004	1	1	-1	100	12020005	1	1	-1	100	12020006	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
3	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	10010000	1	1	-1	100	10016001	1	1	-1	100	10020000	1	1	-1	100	10026001	1	1	-1	100	10030000	1	1	-1	100	10036001	1	1	-1	100	10040000	1	1	-1	100	10046001	1	1	-1	100	10050000	1	1	-1	100	10056001	1	1	-1	100	10060000	1	1	-1	100	10066001	1	1	-1	100	10070000	1	1	-1	100	10080000	1	1	-1	100	10090000	1	1	-1	100	10100000	1	1	-1	100	10110000	1	1	-1	100	10120000	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
4	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	10200000	1	1	-1	100	10210000	1	1	-1	100	10220000	1	1	-1	100	10230000	1	1	-1	100	10240000	1	1	-1	100	10250000	1	1	-1	100	10260000	1	1	-1	100	10270000	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
5	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	10280000	1	1	-1	100	10290000	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
6	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	11000001	1	1	-1	100	11000002	1	1	-1	100	11000003	1	1	-1	100	11000004	1	1	-1	100	11000005	1	1	-1	100	11000006	1	1	-1	100	11000007	1	1	-1	100	11010001	1	1	-1	100	11010002	1	1	-1	100	11020001	1	1	-1	100	11020002	1	1	-1	100	11030001	1	1	-1	100	11040001	1	1	-1	100	11050001	1	1	-1	100	14000001	1	1	-1	100	14010001	1	1	-1	100	14020001	1	1	-1	100	14030001	1	1	-1	100	11970001	1	1	-1	100	11970011	1	1	-1	100	11970021	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
7	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	12058000	1	1	-1	100	12057000	1	1	-1	100	12056000	1	1	-1	100	12055000	1	1	-1	100	12054000	1	1	-1	100	12053000	1	1	-1	100	12052000	1	1	-1	100	12051000	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
8	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	12010001	1	1	-1	100	14010001	1	1	-1	100	14010002	1	1	-1	100	14010003	1	1	-1	100	14010004	1	1	-1	100	14010005	1	1	-1	100	14010006	1	1	-1	100	14010007	1	1	-1	100	14010008	1	1	-1	100	14010009	1	1	-1	100	14010010	1	1	-1	100	14010011	1	1	-1	100	14010012	1	1	-1	100	14010013	1	1	-1	100	14010014	1	1	-1	100	14010015	1	1	-1	100	14010016	1	1	-1	100	14010017	1	1	-1	100	14010018	1	1	-1	100	14010019	1	1	-1	100	14010020	1	1	-1	100	14010021	1	1	-1	100	14010022	1	1	-1	100	14010023	1	1	-1	100	14010024	1	1	-1	100	14010025	1	1	-1	100	14020001	1	1	-1	100	14020002	1	1	-1	100	14020003	1	1	-1	100	14020004	1	1	-1	100	14020005	1	1	-1	100	14020006	1	1	-1	100	14020007	1	1	-1	100	14020008	1	1	-1	100	14020009	1	1	-1	100	14020010	1	1	-1	100	14020011	1	1	-1	100	14020012	1	1	-1	100	14020013	1	1	-1	100	14020014	1	1	-1	100
9	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	0	14030001	1	1	-1	100	14030002	1	1	-1	100	14030003	1	1	-1	100	14030004	1	1	-1	100	14030005	1	1	-1	100	14030006	1	1	-1	100	14030007	1	1	-1	100	14030008	1	1	-1	100	14030009	1	1	-1	100	14030010	1	1	-1	100	14030011	1	1	-1	100	14030012	1	1	-1	100	14030013	1	1	-1	100	14030014	1	1	-1	100	14030015	1	1	-1	100	14030016	1	1	-1	100	14030017	1	1	-1	100	14030018	1	1	-1	100	14030019	1	1	-1	100	14030020	1	1	-1	100	14030021	1	1	-1	100	14030022	1	1	-1	100	14030023	1	1	-1	100	14030024	1	1	-1	100	14030025	1	1	-1	100	14040001	1	1	-1	100	14040002	1	1	-1	100	14040003	1	1	-1	100	14040004	1	1	-1	100	14040005	1	1	-1	100	14040006	1	1	-1	100	14040007	1	1	-1	100	14040008	1	1	-1	100	14040009	1	1	-1	100	14040010	1	1	-1	100	14040011	1	1	-1	100	14040012	1	1	-1	100	14040013	1	1	-1	100	14040014	1	1	-1	100	14040015	1	1	-1	100
