NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	TEXT	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	NUM	NUM	NUM	FLOAT	NUM	TEXT	TEXT	NUM	NUM	NUM	CNC	NUM	NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	FLOAT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	FLOAT	NUM
ID（技能系的ID，最大ID16384）	职业	技能名称	简要效果逻辑说明	技能描述（FOR TIP）	技能描述（FOR Interface）	图标	技能类型	级别上限	冷却时间（毫秒）	聚气时间（毫秒）	引导时间（毫秒）	技能条件或消耗参数值p1（v=p1*level+p2）	技能条件或消耗参数值p2（v=p1*level+p2）	需要拿武器类型	是否受限于控制1	是否受限于控制2	是否受限于（骑乘/变身）	是否是受控于控制4（扛旗）	是否为远程技能	技能类别（0聚气；1引导；2瞬发；3被动）	冷却ID组	引导/聚气动作组ID类型 序列	发招动作组的ID序列	所选目标是否存活	技能类别按使用者划分	是否为被动技能（主动技能还是被动技能）	鼠标点选类型（0不需要，1需要，2被动）	技能分组类型(// 人物主动攻击技能 = 0// 人物主动辅助技能 = 1// 人物被动         = 2// 人物特殊技能     = 3// 生活主动技能     = 4// 生活被动技能     = 5)	min射程(m)	max射程(m)	技能友好值，=0为中性技能，>0为正面技能，<0为 负面技能	连续攻击次数或引导的时间间隔(毫秒)	是否为自动连续释放的技能	技能范围半径	本技能是否会打断自动释放技能	参数说明	参数值	是否为冲锋技能	坐骑技能分组	坐骑合成	分割线	策划组专用ID	技能逻辑ID编号	技能磊扁别（前置点数之和需求）	技能条件或消耗参数说明	技能条件和消耗逻辑	技能条件或消耗参数说明	技能条件和消耗逻辑	技能条件或消耗参数值p1（v=p1*level+p2）	技能条件或消耗参数值p2（v=p1*level+p2）	技能条件或消耗参数说明	技能条件和消耗逻辑	技能条件或消耗参数值p1（v=p1*level+p2）	技能条件或消耗参数值p2（v=p1*level+p2）	此技能目标级别	此技能是否打断上一个正在执行的技能	环境特殊光效ID	技能发动几率，只对骑乘技能有效	骑乘技能类型	骑乘技能产生的效果ID	引导技能是否会即时生效	预留4	子弹飞行速率	子弹发射点	子弹数量	子弹间隔夹角	目标选择逻辑（0代表只选择自己、4以自己为中心、5只选择目标、6以目标为中心、7以鼠标为中心）	动作时间(毫秒)	目标和使用者之间的阵营关系	目标类别	是否仅对队友有效	命中率	会心率	角色的攻击速度是否影响技能冷却时间.	激活时间（毫秒）	角度参数变量	技能范围搜索的目标个数	预留5	延迟时间（毫秒）	伤害计算的通用延迟时间（毫秒）	是否为瞬发技能	技能击退距离	技能击退概率	技能击飞距离	技能击飞概率	是否为带有特殊效果的技能	预留	预留	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	参数说明	参数值	子技能	子技能施放成功率	是否会被击退	回退百分比	回退概率	宽度参量	是否显示技能文字
0	-1	召唤兽普通攻击	攻击距离不读该表	系统预留		set:funny image:funny_01	0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	1	1	0	1	0	2	200		100;101;102	0	0	0	1	-1	0|0|0|0|0	3|3|3|3|3	-1	0	1	0	1	|生效一次的附加效果1	311|312|313|314|315	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	1	-1	0	0	0	1	100	5	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#3	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	0	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#4	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	0	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#5	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	0	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#6	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	0	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#7	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	0	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#8	-1	系统预留	系统预留	系统预留			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	6	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	5	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#9	-1	系统预留	武士：攻击	有效距离：2米#r瞬间释放#r#cFF6600自动连续释放			0	5	1300|1300|1300|1300|1300	-1|-1|-1|-1|-1	-1|-1|-1|-1|-1	-1	-1	0	0	0	0	1	0	2	200		121	0	0	0	1	-1	0|0|0|0|0	2|2|2|2|2	-1	0	1	6	1	|生效一次的附加效果1	1|1|1|1|1	-1	-1	-1		0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	0|0|0|0|0	0	4	800	1	-1	0	-1	-1	1	-1	360	6	-1	0	0	0	1	100	10	100	0	-1	-1	|引导周期的附加效果1	-1	生效一次的附加效果2	-1	引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	-1	-1				-1	0
#	公共技能	#	分隔符	#		#	#	5	#	#	#	#	#	#	0	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#|#|#|#|#|#|#|#|#|#|	#	#	#	#	#	#	#	-1	#	#		#	#	-1	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	#	0	#	800	#	-1	#	-1	#	#	#	#	#	#	#	0	#	#	#	#	#	#	-1	#	#	#	#	#	#	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	|生效一次的附加效果2	-1	|引导周期的附加效果2	-1	#	#				-1	0
