NUM	TEXT	TEXT	NUM	NUM	NUM
编号	补偿NAME(16字以内)	补偿描述（512字以内）	脚本编号	背包空间限制	堆叠上限
0	空缺	空缺	-1	0	1
1	银卡补偿	每份补偿将得到1两银卡。	580001	0	1
2	金卡补偿	每份补偿将得到1两金卡。	580002	0	1
3	现银补偿	每份补偿将得到1两现银。	580003	0	1
4	现金补偿	每份补偿将得到1两现金。	580012	0	1
5	2010 TGS限量装备组	您将获得2010 TGS限量装备组1份。	581511	1	1
6	铁犀降世符礼包	您将获得铁犀降世符礼包1份。	581510	1	1
7	封测参与体验礼包	您将获得封测参与体验礼包1份。	580004	1	1
8	封测初级体验礼包	您将获得封测初级体验礼包1份。	580005	1	1
9	封测深度体验礼包	您将获得封测深度体验礼包1份。	580006	1	1
10	封测资深体验礼包	您将获得封测资深体验礼包1份。	580007	1	1
11	封测终极体验礼包	您将获得封测终极体验礼包1份	580008	1	1
12	刺陵时装(7日)礼盒	您将获得刺陵时装(7日)礼盒1份。	581512	1	1
13	中级龙眼石奖励礼包	您将获得中级龙眼石奖励礼包1份。	581529	1	1
14	中级龙眼石特奖礼包	您将获得中级龙眼石特奖礼包1份。	581530	1	1
15	高级龙眼石奖励礼包	您将获得高级龙眼石奖励礼包1份。	581531	1	1
16	高级龙眼石特奖礼包	您将获得高级龙眼石特奖礼包1份。	581532	1	1
17	神传水晶嘉宾礼包	您将获得神传水晶嘉宾礼包1份。	581533	1	1
18	神传水晶贵宾礼包	您将获得神传水晶贵宾礼包1份。	581534	1	1
19	神传水晶礼包	您将获得神传水晶礼包1份。	581535	1	1
20	还魂丹礼包	您将获得绑定的还魂丹。	581536	1	250
21	四级秘银礼包	您将获得绑定的四级秘银。	581537	1	250
22	云衫木炭礼包	您将获得绑定的云衫木炭。	581538	1	250
23	永久时装礼包	您将获得绑定的永久时装一件。	581539	1	1
24	四彩护身符礼包	您将获得绑定的四彩护身符。	581540	1	250
25	唯我独尊礼包	您将获得绑定的唯我独尊(永不磨损)。	581541	1	1
26	小三元(永久)	您将随机获得一个小三元(永久)。	581542	1	1
27	武动乾坤礼包	您将获得绑定的武动乾坤(永不磨损)。	581543	1	1
28	战天斗地礼包	您将获得绑定的战天斗地(永不磨损)。	581544	1	1
29	小四喜（北斗）	您将随机获得一个掌门牌：小四喜：北斗(永不磨损)。	581545	1	1
30	小四喜（破军）	您将随机获得一个掌门牌：小四喜：破军(永不磨损)。	581546	1	1
31	神秘超值大礼包	您将获得神秘的惊喜一份。	581547	1	1
32	掌门牌礼包	您将获得掌门牌礼包1份。	581548	1	1
33	经验月饼礼盒	您将获得经验月饼礼盒1份。	581549	1	250
34	一星VIP尊爵礼	您将获得一星VIP尊爵礼1份。	581550	1	1
35	二星VIP尊爵礼	您将获得二星VIP尊爵礼1份。	581551	1	1
36	三星VIP尊爵礼	您将获得三星VIP尊爵礼1份。	581552	1	1
37	四星VIP尊爵礼	您将获得四星VIP尊爵礼1份。	581553	1	1
38	五星VIP尊爵礼	您将获得五星VIP尊爵礼1份。	581554	1	1
39	六星VIP尊爵礼	您将获得六星VIP尊爵礼1份。	581555	1	1
40	七星VIP尊爵礼	您将获得七星VIP尊爵礼1份。	581556	1	1
41	水钻VIP尊爵礼	您将获得水钻VIP尊爵礼1份。	581557	1	1
42	晶钻VIP尊爵礼	您将获得晶钻VIP尊爵礼1份。	581558	1	1
43	粉钻VIP尊爵礼	您将获得粉钻VIP尊爵礼1份。	581559	1	1
44	蓝钻VIP尊爵礼	您将获得蓝钻VIP尊爵礼1份。	581560	1	1
45	血钻VIP尊爵礼	您将获得血钻VIP尊爵礼1份。	581561	1	1
46	星钻VIP尊爵礼	您将获得星钻VIP尊爵礼1份。	581562	1	1
47	国传水晶礼包	您将获得国传水晶礼包1份。	581563	1	1
48	刺陵时装(7日)礼盒	您将获得刺陵时装(7日)礼盒1份。	581564	1	1
