NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	TEXT	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	NUM	TEXT	NUM
编号	服务器场景编号	场景名称	X大小	Z大小	地图资源	背景音乐	地图名称	X坐标	Y坐标	名称X坐标	名称Y坐标	地图等级	名称图片文件Normal	名称图片Normal	名称图片文件Hover	名称图片Hover	场景切换图片	地图类型	国家	名称颜色显示规则	场景色列表	地图PK类型
0	0	大都·中心城	512	512	city_cheng3dadu.scb	104	city_cheng3daduscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
1	1	登陆界面	128	128	denglucheng3.scb	173	denglucheng3scene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0		1
2	2	大都·泰山	256	256	yewai_taishan.scb	108	yewai_taishanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	6
3	3	边塞·中兴府	256	256	city_zhongxingfu.scb	179	city_zhongxingfuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	4
4	4	大都·太行山	256	256	juqing_taihangshan.scb	108	juqing_taihangshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	6
5	5	领地·凤翔府	256	256	juqing_fengxiangfu.scb	137	juqing_fengxiangfuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
6	6	领地·蔡州城	256	256	juqing_caizhoucheng.scb	137	juqing_caizhouchengscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
7	7	领地·秦岭	256	256	yewai_qinling.scb	137	yewai_qinlingscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
8	8	领地·阿尔金山	256	256	juqing_jinshan.scb	111	juqing_jinshanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
9	9	领地·碎叶城	256	256	juqing_suiyecheng.scb	111	juqing_suiyechengscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
10	10	领地·红沙漠	256	256	juqing_hongshamo.scb	111	juqing_hongshamoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
11	11	领地·撒马尔罕	256	256	juqing_samaerhan.scb	100	juqing_samaerhanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
12	12	监狱	64	64	migong_jianyu.scb	150	migong_jianyuscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	6
13	13	领地·巴格达	256	256	juqing_bageda.scb	100	juqing_bagedascene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
14	14	大都美丽会	64	64	city_dadumeilihui.scb	161	city_dadumeilihuiscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
15	15	威海港	256	256	city_weihaigang.scb 	126	city_weihaigangscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	1	1|2|3	5
16	16	领地·波斯高原	256	256	juqing_bosigaoyuan.scb	100	juqing_bosigaoyuanscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
17	17	领地·莫斯科	256	256	juqing_mosikegongguo.scb	118	juqing_mosikegongguoscene	590	394	590	418	Sign5	MiniMap_Icon2	Test02_Normal	MiniMap_Icon2	Test02_Hover	UI_Scene_Logo	0	4	0	1|2|3	8
