{index=1,level=30,buffID=2240,buffDesc="经验获得增加1%"},
{index=2,level=61,buffID=2241,buffDesc="经验获得增加2%"},
{index=3,level=91,buffID=2242,buffDesc="经验获得增加3%"},
{index=4,level=122,buffID=2243,buffDesc="经验获得增加4%"},
{index=5,level=152,buffID=2244,buffDesc="经验获得增加5%"},
{index=6,level=183,buffID=2245,buffDesc="经验获得增加6%"},
{index=7,level=213,buffID=2246,buffDesc="经验获得增加7%"},
{index=8,level=244,buffID=2247,buffDesc="经验获得增加8%"},
{index=9,level=274,buffID=2248,buffDesc="经验获得增加9%"},
{index=10,level=305,buffID=2249,buffDesc="经验获得增加10%"},
{index=11,level=335,buffID=2250,buffDesc="经验获得增加11%"},
{index=12,level=366,buffID=2251,buffDesc="经验获得增加12%"},
{index=13,level=396,buffID=2252,buffDesc="经验获得增加13%"},
{index=14,level=427,buffID=2253,buffDesc="经验获得增加14%"},
{index=15,level=457,buffID=2254,buffDesc="经验获得增加15%"},
{index=16,level=488,buffID=2255,buffDesc="经验获得增加16%"},
{index=17,level=518,buffID=2256,buffDesc="经验获得增加17%"},
{index=18,level=549,buffID=2257,buffDesc="经验获得增加18%"},
{index=19,level=579,buffID=2258,buffDesc="经验获得增加19%"},
{index=20,level=610,buffID=2259,buffDesc="经验获得增加20%"},
{index=21,level=640,buffID=2260,buffDesc="经验获得增加21%"},
{index=22,level=671,buffID=2261,buffDesc="经验获得增加22%"},
{index=23,level=701,buffID=2262,buffDesc="经验获得增加23%"},
{index=24,level=732,buffID=2263,buffDesc="经验获得增加24%"},
{index=25,level=762,buffID=2264,buffDesc="经验获得增加25%"},
{index=26,level=793,buffID=2265,buffDesc="经验获得增加26%"},
{index=27,level=823,buffID=2266,buffDesc="经验获得增加27%"},
{index=28,level=854,buffID=2267,buffDesc="经验获得增加28%"},
{index=29,level=884,buffID=2268,buffDesc="经验获得增加29%"},
{index=30,level=915,buffID=2269,buffDesc="经验获得增加30%"},
{index=31,level=945,buffID=2270,buffDesc="经验获得增加31%"},
{index=32,level=976,buffID=2271,buffDesc="经验获得增加32%"},
{index=33,level=1006,buffID=2272,buffDesc="经验获得增加33%"},
{index=34,level=1037,buffID=2273,buffDesc="经验获得增加34%"},
{index=35,level=1067,buffID=2274,buffDesc="经验获得增加35%"},
{index=36,level=1098,buffID=2275,buffDesc="经验获得增加36%"},
{index=37,level=1128,buffID=2276,buffDesc="经验获得增加37%"},
{index=38,level=1159,buffID=2277,buffDesc="经验获得增加38%"},
{index=39,level=1189,buffID=2278,buffDesc="经验获得增加39%"},
