NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM
装备ID编号	索引模型ID	装备名称	产地说明	索引装备图标	装备类型描述	掉落模型	掉落模型附加的特殊光效	掉落音效	物品名称颜色	特殊光效1	绑定点1	特殊光效2	绑定点2	特殊光效3	绑定点3	特殊光效4	绑定点4	特殊光效5	绑定点5	特殊光效6	绑定点6	特殊光效7	绑定点7	特殊光效8	绑定点8	特殊光效9	绑定点9	特殊光效10	绑定点10	特殊光效11	绑定点11	特殊光效12	绑定点12	特殊光效13	绑定点13	特殊光效14	绑定点14	特殊光效15	绑定点15	特殊光效16	绑定点16	动画帧	类别
#1001XXXX刀																																										-1	1
10010010	55	家传之刀	产地：蒙古	HAN2_Equip_jiachuan_4_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010020	55	草原短柄刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010030	55	克烈尖峰刀	产地：蒙古	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010040	55	鞑靼铜环刀	产地：蒙古	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010050	55	乃蛮黑铁刀	产地：蒙古	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010060	55	乌月风动刀	产地：金国	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010070	55	凤翔赤精刀	产地：金国	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010080	55	西辽地龙刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010090	55	突厥江鸈刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	1
10010091	55	金帐凝风刀	产地：欧洲	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010092	55	中兴破日刀	产地：西域	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010093	55	西辽梵音刀	产地：西域	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010094	55	碎叶旋经刀	产地：西域	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010095	55	沙漠飞晶刀	产地：西域	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010096	55	波斯大明王刀	产地：欧洲	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010097	55	基辅神谱刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010098	55	波兰金刚杵刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010099	55	匈牙利真言刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010201	55	打造刀一级成品	产地：莫斯科	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010202	55	打造刀二级成品	产地：波斯地区	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010203	55	打造刀三级成品	产地：莱茵河畔	CJSH_equip_dao_2_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010204	55	打造刀四级成品	产地：印度地区	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
