{index = 1,useyuan=1, dai=5 ,targetID = 108, targetName = "五代蒙古马・黑", buffID = 22710, buffDesc = "五代蒙古马・黑图鉴激活：全攻击+100全防御+100"},
{index = 2,useyuan=1, dai=5 ,targetID = 208, targetName = "五代三河马・黑", buffID = 22711, buffDesc = "五代三河马・黑图鉴激活：全攻击+200全防御+200"},
{index = 3,useyuan=1, dai=5 ,targetID = 308, targetName = "五代伊犁马・黑", buffID = 22712, buffDesc = "五代伊犁马・黑图鉴激活：全攻击+300全防御+300"},
{index = 4,useyuan=1, dai=3 ,targetID = 2306, targetName = "三代变异凶豹", buffID = 22713, buffDesc = "三代变异凶豹图鉴激活：全攻击+400全防御+400"},
{index = 5,useyuan=1, dai=3 ,targetID = 2316, targetName = "三代变异奔羚", buffID = 22714, buffDesc = "三代变异奔羚图鉴激活：全攻击+500全防御+500"},
{index = 6,useyuan=1, dai=3 ,targetID = 2326, targetName = "三代变异天鹅", buffID = 22715, buffDesc = "三代变异天鹅图鉴激活：全攻击+600全防御+600"},
{index = 7,useyuan=1, dai=3 ,targetID = 2336, targetName = "三代变异河马", buffID = 22716, buffDesc = "三代变异河马图鉴激活：全攻击+700全防御+700"},
{index = 8,useyuan=1, dai=3 ,targetID = 2346, targetName = "三代变异蜘蛛", buffID = 22717, buffDesc = "三代变异蜘蛛图鉴激活：全攻击+800全防御+800"},
{index = 9,useyuan=1, dai=5 ,targetID = 408, targetName = "五代波斯马・黑", buffID = 22718, buffDesc = "五代波斯马・黑图鉴激活：全攻击+900全防御+900"},
{index = 10,useyuan=1, dai=5 ,targetID = 508, targetName = "五代天方马・黑", buffID = 22719, buffDesc = "五代天方马・黑图鉴激活：全攻击+1000全防御+1000"},
{index = 11,useyuan=1, dai=3 ,targetID = 2506, targetName = "三代变异烈狮", buffID = 22720, buffDesc = "三代变异烈狮图鉴激活：全攻击+1100全防御+1100"},
{index = 12,useyuan=1, dai=3 ,targetID = 2516, targetName = "三代变异驯鹿", buffID = 22721, buffDesc = "三代变异驯鹿图鉴激活：全攻击+1200全防御+1200"},
{index = 13,useyuan=1, dai=3 ,targetID = 2526, targetName = "三代变异瑞鹤", buffID = 22722, buffDesc = "三代变异瑞鹤图鉴激活：全攻击+1300全防御+1300"},
{index = 14,useyuan=1, dai=3 ,targetID = 2536, targetName = "三代变异铁犀", buffID = 22723, buffDesc = "三代变异铁犀图鉴激活：全攻击+1400全防御+1400"},
{index = 15,useyuan=1, dai=3 ,targetID = 2546, targetName = "三代变异蝎子", buffID = 22724, buffDesc = "三代变异蝎子图鉴激活：全攻击+1500全防御+1500"},
{index = 16,useyuan=1, dai=5 ,targetID = 608, targetName = "五代大宛马・黑", buffID = 22725, buffDesc = "五代大宛马・黑图鉴激活：全攻击+1600全防御+1600"},
{index = 17,useyuan=1, dai=5 ,targetID = 708, targetName = "五代纯血马・黑", buffID = 22726, buffDesc = "五代纯血马・黑图鉴激活：全攻击+1700全防御+1700"},
{index = 18,useyuan=1, dai=3 ,targetID = 2706, targetName = "三代变异剑齿虎", buffID = 22727, buffDesc = "三代变异剑齿虎图鉴激活：全攻击+1800全防御+1800"},
{index = 19,useyuan=1, dai=3 ,targetID = 2716, targetName = "三代变异蛮牛", buffID = 22728, buffDesc = "三代变异蛮牛图鉴激活：全攻击+1900全防御+1900"},
{index = 20,useyuan=1, dai=3 ,targetID = 2726, targetName = "三代变异凤凰", buffID = 22729, buffDesc = "三代变异凤凰图鉴激活：全攻击+2000全防御+2000"},
{index = 21,useyuan=1, dai=3 ,targetID = 2736, targetName = "三代变异猛犸", buffID = 22730, buffDesc = "三代变异猛犸图鉴激活：全攻击+2100全防御+2100"},
{index = 22,useyuan=1, dai=3 ,targetID = 2746, targetName = "三代变异螳螂", buffID = 22731, buffDesc = "三代变异螳螂图鉴激活：全攻击+2200全防御+2200"},
{index = 23,useyuan=1, dai=5 ,targetID = 808, targetName = "五代汗血马・黑", buffID = 22732, buffDesc = "五代汗血马・黑图鉴激活：全攻击+2300全防御+2300"},
{index = 24,useyuan=1, dai=3 ,targetID = 3706, targetName = "三代变异赤磷奎龙", buffID = 22733, buffDesc = "三代变异赤磷奎龙图鉴激活：全攻击+2400全防御+2400"},
{index = 25,useyuan=1, dai=3 ,targetID = 3716, targetName = "三代变异蛟尾虬龙", buffID = 22734, buffDesc = "三代变异蛟尾虬龙图鉴激活：全攻击+2500全防御+2500"},
{index = 26,useyuan=1, dai=3 ,targetID = 3726, targetName = "三代变异钢髯应龙", buffID = 22735, buffDesc = "三代变异钢髯应龙图鉴激活：全攻击+2600全防御+2600"},
{index = 27,useyuan=1, dai=3 ,targetID = 3736, targetName = "三代变异钢齿暴龙", buffID = 22736, buffDesc = "三代变异钢齿暴龙图鉴激活：全攻击+2700全防御+2700"},
{index = 28,useyuan=1, dai=3 ,targetID = 3746, targetName = "三代变异利爪翼龙", buffID = 22737, buffDesc = "三代变异利爪翼龙图鉴激活：全攻击+2800全防御+2800"},
{index = 29,useyuan=1, dai=5 ,targetID = 908, targetName = "五代骕云马・黑", buffID = 22738, buffDesc = "五代骕云马・黑图鉴激活：全攻击+2900全防御+2900"},
{index = 30,useyuan=1, dai=3 ,targetID = 4006, targetName = "三代变异赤鳞饕餮", buffID = 22739, buffDesc = "三代变异赤鳞饕餮图鉴激活：全攻击+3000全防御+3000"},
{index = 31,useyuan=1, dai=3 ,targetID = 4026, targetName = "三代变异九色毕方", buffID = 22740, buffDesc = "三代变异九色毕方图鉴激活：全攻击+3100全防御+3100"},
{index = 32,useyuan=1, dai=3 ,targetID = 4036, targetName = "三代变异银脊梼杌", buffID = 22741, buffDesc = "三代变异银脊梼杌图鉴激活：全攻击+3200全防御+3200"},
{index = 33,useyuan=1, dai=3 ,targetID = 4046, targetName = "三代变异吞天烛龙", buffID = 22742, buffDesc = "三代变异吞天烛龙图鉴激活：全攻击+3300全防御+3300"},
{index = 34,useyuan=1, dai=5 ,targetID = 1008, targetName = "五代龙骧马・黑", buffID = 22743, buffDesc = "五代龙骧马・黑图鉴激活：全攻击+3400全防御+3400"},
{index = 35,useyuan=1, dai=2 ,targetID = 3604, targetName = "二代老虎", buffID = 22744, buffDesc = "二代老虎图鉴激活：全攻击+3500全防御+3500"},
{index = 36,useyuan=1, dai=2 ,targetID = 3614, targetName = "二代公牛", buffID = 22745, buffDesc = "二代公牛图鉴激活：全攻击+3600全防御+3600"},
{index = 37,useyuan=1, dai=2 ,targetID = 3624, targetName = "二代白驼", buffID = 22746, buffDesc = "二代白驼图鉴激活：全攻击+3700全防御+3700"},
{index = 38,useyuan=1, dai=2 ,targetID = 3755, targetName = "二代变异冰魄冥虎", buffID = 22747, buffDesc = "二代变异冰魄冥虎图鉴激活：全攻击+3800全防御+3800"},
{index = 39,useyuan=1, dai=2 ,targetID = 3805, targetName = "二代变异玉兔", buffID = 22748, buffDesc = "二代变异玉兔图鉴激活：全攻击+3900全防御+3900"},
{index = 40,useyuan=1, dai=2 ,targetID = 3905, targetName = "二代变异圣诞熊", buffID = 22749, buffDesc = "二代变异圣诞熊图鉴激活：全攻击+4000全防御+4000"},
{index = 41,useyuan=1, dai=2 ,targetID = 3915, targetName = "二代变异红虎", buffID = 22750, buffDesc = "二代变异红虎图鉴激活：全攻击+4100全防御+4100"},
{index = 42,useyuan=1, dai=2 ,targetID = 3925, targetName = "二代变异年兽", buffID = 22751, buffDesc = "二代变异年兽图鉴激活：全攻击+4200全防御+4200"},
{index = 43,useyuan=1, dai=2 ,targetID = 3945, targetName = "二代变异南非猎豹", buffID = 22752, buffDesc = "二代变异南非猎豹图鉴激活：全攻击+4300全防御+4300"},
{index = 44,useyuan=1, dai=2 ,targetID = 3965, targetName = "二代变异碧玺大鹏", buffID = 22753, buffDesc = "二代变异碧玺大鹏图鉴激活：全攻击+4400全防御+4400"},
{index = 45,useyuan=1, dai=2 ,targetID = 3975, targetName = "二代变异离火麒麟", buffID = 22754, buffDesc = "二代变异离火麒麟图鉴激活：全攻击+4500全防御+4500"},
{index = 46,useyuan=1, dai=2 ,targetID = 3985, targetName = "二代变异神马", buffID = 22755, buffDesc = "二代变异神马图鉴激活：全攻击+4600全防御+4600"},
{index = 47,useyuan=1, dai=2 ,targetID = 3995, targetName = "二代变异狮王", buffID = 22756, buffDesc = "二代变异狮王图鉴激活：全攻击+4700全防御+4700"},
