{index=1, level=100,buffID=9300,buffDesc="万族征伐录 Lv.1 (草原试猎)：全属性+50"},
{index=2, level=300,buffID=9301,buffDesc="万族征伐录 Lv.2 (草原试猎)：全属性+100"},
{index=3, level=600,buffID=9302,buffDesc="万族征伐录 Lv.3 (草原试猎)：全属性+150"},
{index=4, level=1000,buffID=9303,buffDesc="万族征伐录 Lv.4 (草原试猎)：全属性+200"},
{index=5, level=1500,buffID=9304,buffDesc="万族征伐录 Lv.5 (草原试猎)：全属性+250"},
{index=6, level=2100,buffID=9305,buffDesc="万族征伐录 Lv.6 (草原试猎)：全属性+300"},
{index=7, level=2800,buffID=9306,buffDesc="万族征伐录 Lv.7 (草原试猎)：全属性+350"},
{index=8, level=3600,buffID=9307,buffDesc="万族征伐录 Lv.8 (草原试猎)：全属性+400"},
{index=9, level=4500,buffID=9308,buffDesc="万族征伐录 Lv.9 (草原试猎)：全属性+450"},
{index=10, level=5500,buffID=9309,buffDesc="万族征伐录 Lv.10 (草原试猎)：全属性+500"},
{index=11, level=6600,buffID=9310,buffDesc="万族征伐录 Lv.11 (铁骑初征)：全属性+550"},
{index=12, level=7800,buffID=9311,buffDesc="万族征伐录 Lv.12 (铁骑初征)：全属性+600"},
{index=13, level=9100,buffID=9312,buffDesc="万族征伐录 Lv.13 (铁骑初征)：全属性+650"},
{index=14, level=10500,buffID=9313,buffDesc="万族征伐录 Lv.14 (铁骑初征)：全属性+700"},
{index=15, level=12000,buffID=9314,buffDesc="万族征伐录 Lv.15 (铁骑初征)：全属性+750"},
{index=16, level=13600,buffID=9315,buffDesc="万族征伐录 Lv.16 (铁骑初征)：全属性+800"},
{index=17, level=15300,buffID=9316,buffDesc="万族征伐录 Lv.17 (铁骑初征)：全属性+850"},
{index=18, level=17100,buffID=9317,buffDesc="万族征伐录 Lv.18 (铁骑初征)：全属性+900"},
{index=19, level=19000,buffID=9318,buffDesc="万族征伐录 Lv.19 (铁骑初征)：全属性+950"},
{index=20, level=21000,buffID=9319,buffDesc="万族征伐录 Lv.20 (铁骑初征)：全属性+1000"},
{index=21, level=23100,buffID=9320,buffDesc="万族征伐录 Lv.21 (血战百族)：全属性+1050"},
{index=22, level=25300,buffID=9321,buffDesc="万族征伐录 Lv.22 (血战百族)：全属性+1100"},
{index=23, level=27600,buffID=9322,buffDesc="万族征伐录 Lv.23 (血战百族)：全属性+1150"},
{index=24, level=30000,buffID=9323,buffDesc="万族征伐录 Lv.24 (血战百族)：全属性+1200"},
{index=25, level=32500,buffID=9324,buffDesc="万族征伐录 Lv.25 (血战百族)：全属性+1250"},
{index=26, level=35100,buffID=9325,buffDesc="万族征伐录 Lv.26 (血战百族)：全属性+1300"},
{index=27, level=37800,buffID=9326,buffDesc="万族征伐录 Lv.27 (血战百族)：全属性+1350"},
{index=28, level=40600,buffID=9327,buffDesc="万族征伐录 Lv.28 (血战百族)：全属性+1400"},
{index=29, level=43500,buffID=9328,buffDesc="万族征伐录 Lv.29 (血战百族)：全属性+1450"},
{index=30, level=46500,buffID=9329,buffDesc="万族征伐录 Lv.30 (血战百族)：全属性+1500"},
{index=31, level=49600,buffID=9330,buffDesc="万族征伐录 Lv.31 (血战百族)：全属性+1550"},
{index=32, level=52800,buffID=9331,buffDesc="万族征伐录 Lv.32 (血战百族)：全属性+1600"},
{index=33, level=56100,buffID=9332,buffDesc="万族征伐录 Lv.33 (血战百族)：全属性+1650"},
{index=34, level=59500,buffID=9333,buffDesc="万族征伐录 Lv.34 (血战百族)：全属性+1700"},
{index=35, level=63000,buffID=9334,buffDesc="万族征伐录 Lv.35 (血战百族)：全属性+1750"},
{index=36, level=66600,buffID=9335,buffDesc="万族征伐录 Lv.36 (血战百族)：全属性+1800"},
{index=37, level=70300,buffID=9336,buffDesc="万族征伐录 Lv.37 (血战百族)：全属性+1850"},
{index=38, level=74100,buffID=9337,buffDesc="万族征伐录 Lv.38 (血战百族)：全属性+1900"},
{index=39, level=78000,buffID=9338,buffDesc="万族征伐录 Lv.39 (血战百族)：全属性+1950"},
{index=40, level=82000,buffID=9339,buffDesc="万族征伐录 Lv.40 (血战百族)：全属性+2000"},
{index=41, level=86100,buffID=9340,buffDesc="万族征伐录 Lv.41 (血战百族)：全属性+2050"},
{index=42, level=90300,buffID=9341,buffDesc="万族征伐录 Lv.42 (血战百族)：全属性+2100"},
{index=43, level=94600,buffID=9342,buffDesc="万族征伐录 Lv.43 (血战百族)：全属性+2150"},
{index=44, level=99000,buffID=9343,buffDesc="万族征伐录 Lv.44 (血战百族)：全属性+2200"},
{index=45, level=103500,buffID=9344,buffDesc="万族征伐录 Lv.45 (血战百族)：全属性+2250"},
{index=46, level=108100,buffID=9345,buffDesc="万族征伐录 Lv.46 (血战百族)：全属性+2300"},
{index=47, level=112800,buffID=9346,buffDesc="万族征伐录 Lv.47 (血战百族)：全属性+2350"},
{index=48, level=117600,buffID=9347,buffDesc="万族征伐录 Lv.48 (血战百族)：全属性+2400"},
{index=49, level=122500,buffID=9348,buffDesc="万族征伐录 Lv.49 (血战百族)：全属性+2450"},
{index=50, level=127500,buffID=9349,buffDesc="万族征伐录 Lv.50 (血战百族)：全属性+2500"},
{index=51, level=132600,buffID=9350,buffDesc="万族征伐录 Lv.51 (万族克星)：全属性+2550"},
{index=52, level=137800,buffID=9351,buffDesc="万族征伐录 Lv.52 (万族克星)：全属性+2600"},
{index=53, level=143100,buffID=9352,buffDesc="万族征伐录 Lv.53 (万族克星)：全属性+2650"},
{index=54, level=148500,buffID=9353,buffDesc="万族征伐录 Lv.54 (万族克星)：全属性+2700"},
{index=55, level=154000,buffID=9354,buffDesc="万族征伐录 Lv.55 (万族克星)：全属性+2750"},
{index=56, level=159600,buffID=9355,buffDesc="万族征伐录 Lv.56 (万族克星)：全属性+2800"},
{index=57, level=165300,buffID=9356,buffDesc="万族征伐录 Lv.57 (万族克星)：全属性+2850"},
{index=58, level=171100,buffID=9357,buffDesc="万族征伐录 Lv.58 (万族克星)：全属性+2900"},
{index=59, level=177000,buffID=9358,buffDesc="万族征伐录 Lv.59 (万族克星)：全属性+2950"},
{index=60, level=183000,buffID=9359,buffDesc="万族征伐录 Lv.60 (万族克星)：全属性+3000"},
{index=61, level=189100,buffID=9360,buffDesc="万族征伐录 Lv.61 (天命征服者)：全属性+3050"},
{index=62, level=195300,buffID=9361,buffDesc="万族征伐录 Lv.62 (天命征服者)：全属性+3100"},
{index=63, level=201600,buffID=9362,buffDesc="万族征伐录 Lv.63 (天命征服者)：全属性+3150"},
{index=64, level=208000,buffID=9363,buffDesc="万族征伐录 Lv.64 (天命征服者)：全属性+3200"},
{index=65, level=214500,buffID=9364,buffDesc="万族征伐录 Lv.65 (天命征服者)：全属性+3250"},
{index=66, level=221100,buffID=9365,buffDesc="万族征伐录 Lv.66 (天命征服者)：全属性+3300"},
{index=67, level=227800,buffID=9366,buffDesc="万族征伐录 Lv.67 (天命征服者)：全属性+3350"},
{index=68, level=234600,buffID=9367,buffDesc="万族征伐录 Lv.68 (天命征服者)：全属性+3400"},
{index=69, level=241500,buffID=9368,buffDesc="万族征伐录 Lv.69 (天命征服者)：全属性+3450"},
{index=70, level=248500,buffID=9369,buffDesc="万族征伐录 Lv.70 (天命征服者)：全属性+3500"},
{index=71, level=255600,buffID=9370,buffDesc="万族征伐录 Lv.71 (万族噩梦)：全属性+3550"},
{index=72, level=262800,buffID=9371,buffDesc="万族征伐录 Lv.72 (万族噩梦)：全属性+3600"},
{index=73, level=270100,buffID=9372,buffDesc="万族征伐录 Lv.73 (万族噩梦)：全属性+3650"},
{index=74, level=277500,buffID=9373,buffDesc="万族征伐录 Lv.74 (万族噩梦)：全属性+3700"},
{index=75, level=285000,buffID=9374,buffDesc="万族征伐录 Lv.75 (万族噩梦)：全属性+3750"},
{index=76, level=292600,buffID=9375,buffDesc="万族征伐录 Lv.76 (万族噩梦)：全属性+3800"},
{index=77, level=300300,buffID=9376,buffDesc="万族征伐录 Lv.77 (万族噩梦)：全属性+3850"},
{index=78, level=308100,buffID=9377,buffDesc="万族征伐录 Lv.78 (万族噩梦)：全属性+3900"},
{index=79, level=316000,buffID=9378,buffDesc="万族征伐录 Lv.79 (万族噩梦)：全属性+3950"},
{index=80, level=324000,buffID=9379,buffDesc="万族征伐录 Lv.80 (万族噩梦)：全属性+4000"},
{index=81, level=332100,buffID=9380,buffDesc="万族征伐录 Lv.81 (万族噩梦)：全属性+4050"},
{index=82, level=340300,buffID=9381,buffDesc="万族征伐录 Lv.82 (万族噩梦)：全属性+4100"},
{index=83, level=348600,buffID=9382,buffDesc="万族征伐录 Lv.83 (万族噩梦)：全属性+4150"},
{index=84, level=357000,buffID=9383,buffDesc="万族征伐录 Lv.84 (万族噩梦)：全属性+4200"},
{index=85, level=365500,buffID=9384,buffDesc="万族征伐录 Lv.85 (万族噩梦)：全属性+4250"},
{index=86, level=374100,buffID=9385,buffDesc="万族征伐录 Lv.86 (万族噩梦)：全属性+4300"},
{index=87, level=382800,buffID=9386,buffDesc="万族征伐录 Lv.87 (万族噩梦)：全属性+4350"},
{index=88, level=391600,buffID=9387,buffDesc="万族征伐录 Lv.88 (万族噩梦)：全属性+4400"},
{index=89, level=400500,buffID=9388,buffDesc="万族征伐录 Lv.89 (万族噩梦)：全属性+4450"},
{index=90, level=409500,buffID=9389,buffDesc="万族征伐录 Lv.90 (万族噩梦)：全属性+4500"},
{index=91, level=418600,buffID=9390,buffDesc="万族征伐录 Lv.91 (万族噩梦)：全属性+4550"},
{index=92, level=427800,buffID=9391,buffDesc="万族征伐录 Lv.92 (万族噩梦)：全属性+4600"},
{index=93, level=437100,buffID=9392,buffDesc="万族征伐录 Lv.93 (万族噩梦)：全属性+4650"},
{index=94, level=446500,buffID=9393,buffDesc="万族征伐录 Lv.94 (万族噩梦)：全属性+4700"},
{index=95, level=456000,buffID=9394,buffDesc="万族征伐录 Lv.95 (万族噩梦)：全属性+4750"},
{index=96, level=465600,buffID=9395,buffDesc="万族征伐录 Lv.96 (万族噩梦)：全属性+4800"},
{index=97, level=475300,buffID=9396,buffDesc="万族征伐录 Lv.97 (万族噩梦)：全属性+4850"},
