NUM	TEXT	NUM	NUM	NUM	NUM	NUM	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	TEXT	NUM	NUM	NUM	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	NUM	NUM	TEXT
索引index	名称	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
0	轮回台副本	-1	1	1	1120	1330	-1	-1	0	0	-1	-1	-1	-1	4|1	601		1130	1800		1400	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
1	轮回台副本	-1	1	1	2020	2230	-1	-1	0	0	-1	-1	-1	-1	4|1	601		2030	1800		2359	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
2	轮回台副本	-1	1	1	1130	1131	-1	-1	0	0	-1	-1	-1	-1	5	61		1131	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
3	轮回台副本	-1	1	1	2030	2031	-1	-1	0	0	-1	-1	-1	-1	5	61		2031	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
4	圣山地宫预报	310030	1	1	150	204	200	201	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在02：00开放，请各位勇士速速前往！	159	60	圣山地宫已经开放，请各位勇士速速前往！	201	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
5	圣山地宫结束	310032	1	1	220	229	225	226	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	221	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
6	圣山地宫预报	310030	1	1	550	604	600	601	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在06：00开放，请各位勇士速速前往！	559	60	圣山地宫已经开放，请各位勇士速速前往！	601	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
7	圣山地宫结束	310032	1	1	620	629	625	626	0	0	-1	-1	-1	-1	4|1	61	圣山地宫关闭了，感谢各位勇士的努力！	621	-1		-1	-1		-1	-1		-1	-1		-1	0	0	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50|150|250|350
8	圣山地宫预报	310030	1	1	950	1004	1000	1001	0	0	-1	-1	-1	-1	4|1	120	圣山地宫将在10：00开放，请各位勇士速速前往！	959	60	圣山地宫已经开放，请各位勇士速速前往！	1001	-1		-1	-1		-1	-1		-1	-2	99	114|1	115|1	214|1	215|1	314|1	315|1	414|1	415|1	0|-1	0|-1	1	0	83|84|85|96|97|183|184|185|196|197|283|284|285|296|297|383|384|385|396|397|79|179|279|379|95|195|295|395|112|113|212|213|312|313|412|413
